"gene","SRR26204549","SRR26204550","SRR26204553","SRR26204554","SRR26204557","SRR26204558"
"5S_rRNA",1,1,0,0,0,0
"5_8S_rRNA",0,0,0,0,0,0
"7SK",4.003,72.634,32.41,32.221,20.755,0
"A1BG",4.194,47.564,37.06,26.986,32.63,19.416
"A1BG-AS1",51,30.072,52.029,56.001,99.001,15.001
"A1CF",0,1,0,0.85,0,0
"A2M",68,2580,1891,9552,1854.001,2951.861
"A2M-AS1",4,10,8,6,6,6
"A2ML1",1,10.264,4.069,11.622,7.496,12.382
"A2ML1-AS1",0,0,0,0,0,0
"A2ML1-AS2",0,0,0,1,0,0
"A2MP1",0,1,0,0,0,0
"A3GALT2",0,3,0,0,1,0
"A4GALT",143,53.589,31.572,79.038,204.127,315.701
"A4GNT",0,0,0,0,0,0
"AA06",0,0,0,0,0,0
"AAAS",347,185,424,280,408.001,209
"AACS",613.426,264.697,394.314,239.097,433.281,179.323
"AACSP1",0,1,0,0,0,2
"AADAC",0,1,0,3,0,3
"AADACL2",0,0,0,0,0,0
"AADACL2-AS1",1,0,1,0,0,1.056
"AADACL3",2,0,1,3,2,623
"AADACL4",0,0,0,0,0,0
"AADACP1",0,0,0,0,1,0
"AADAT",4,1.085,8,2,9.005,14
"AAGAB",992,287,618.001,303,616.999,234
"AAK1",2096.626,1960.551,1636.982,1752.222,1936.893,867.086
"AAMDC",54.358,42.589,63.175,52.445,44.021,44.001
"AAMP",2046,590,1820,645,1972,556
"AANAT",0,0,0,0,1,0
"AAR2",538.999,223.12,523.363,278.669,607.724,248.443
"AARD",2.338,15.888,15.308,16.624,23.35,2.586
"AARS1",943.188,456.215,1032.231,717.519,1156.506,845
"AARS1P1",0,0,0,0,0,0
"AARS2",35.046,160.087,140.462,257.181,162.014,113.788
"AARSD1",111.961,126.613,157.338,179.509,154.883,121.45
"AARSD1P1",3.112,0,6.126,0,2.624,0
"AASDH",109,83,188,103,194,49
"AASDHPPT",487.999,163,509,198,592,219
"AASS",7.02,64.768,30.372,61.036,66.138,52.237
"AATBC",4,15,261.999,36,143.001,17
"AATF",1257.001,504.305,1200.727,558.603,1524.53,401.085
"AATK",13,1348.242,352.368,809.899,189.402,312.918
"ABALON",4,0,4,6,6,1
"ABAT",1058,181.299,352.028,198.689,1090.648,110.849
"ABCA1",89,3623,580.001,7793.999,702,1417
"ABCA10",5.137,19.685,6.995,9.443,11.352,4.321
"ABCA11P",192.44,18.443,84.488,17.336,112.05,12.795
"ABCA12",4,0,2,0,1,27
"ABCA13",3,112.566,38.01,233.983,63.527,55.306
"ABCA15P",0,11.897,5.513,9.227,2.933,1.744
"ABCA17P",1,0,0,0,0,0
"ABCA2",34,1132.435,180.001,1067,225.382,465.007
"ABCA3",2,58,16.845,63,37,106
"ABCA3P1",0,0,0,0,0,0
"ABCA4",4,0,1,0,9,15
"ABCA5",122,463.003,133.999,170.47,189.672,68.095
"ABCA6",0,49.287,4.583,45.035,14.112,16.164
"ABCA7",51,1209.999,1051.999,1501.002,631.001,377.999
"ABCA8",0,7.666,2.86,3.343,1.085,3.163
"ABCA9",11.633,17.748,13.194,24.615,12.422,8.276
"ABCA9-AS1",3,0,1,0,0,0
"ABCB1",378.76,485.833,45.04,386.949,189.173,127.896
"ABCB10",75,240,256,478,255.907,179
"ABCB10P1",0,0,0,0,0,0
"ABCB10P3",0,0,0,0,0,0
"ABCB10P4",0,0,0,0,1.093,0
"ABCB11",6.239,6.518,2.243,7.045,4.586,6.236
"ABCB4",10.24,12.168,47.96,66.05,93.828,4.104
"ABCB5",1.068,8.992,2.318,7.003,3.227,7.918
"ABCB6",9.11,40.223,37.361,117.437,34.999,52.906
"ABCB7",330.381,297.229,327.886,375.363,455.23,187.04
"ABCB8",228.025,195.659,241.372,355.504,222.17,149.37
"ABCB9",44.097,46.258,46.901,66.022,40.749,47.668
"ABCC1",62,1396.675,679.125,1777.574,800,763.624
"ABCC10",36.357,223.691,247.92,311.696,240,233.391
"ABCC11",3,3.02,4.035,6.014,8.017,0
"ABCC12",0,1,0,0,0,2
"ABCC13",9,5.088,18,11,28.023,0
"ABCC2",41.088,48.202,37,117.118,53.481,154.717
"ABCC3",27.783,264.795,670.023,1294.3,303.246,205.001
"ABCC4",6,82,84.584,181.041,66.31,70.485
"ABCC5",36,675,531,1016,338,258.002
"ABCC5-AS1",0,1,0,0,0,0
"ABCC6",0,5.5,15.048,20,37.582,6
"ABCC6P1",0,0,8.952,0,7.419,0
"ABCC6P2",0,1.5,0,0,0,0
"ABCC8",0,10.216,0.889,6.097,4.743,3.983
"ABCC9",0,6.076,4.271,6.087,5.576,4.975
"ABCD1",367,382,688,699,764,435
"ABCD1P2",0,0,0,0,0,0
"ABCD1P3",0,0,0,0,0,0
"ABCD1P4",0,0,0,0,0,0
"ABCD1P5",0,0,0,0,0,0
"ABCD2",2,17,6,22,6,5
"ABCD3",541.004,266.432,590.453,303.349,863.067,173.245
"ABCD4",131.176,344.075,283.088,421.296,283.993,256.919
"ABCE1",528.228,455.969,949.187,729.042,924.71,287.155
"ABCF1",2633.047,1310.396,2015.447,1452.647,2622.477,910.585
"ABCF2",372.645,203.739,410.974,335.488,473.205,215.455
"ABCF2-H2BK1",125.263,46.654,185.199,106.448,189.866,61.749
"ABCF2P1",0,0,0,0,0,0
"ABCF2P2",0,0,0,0,0,0
"ABCF3",1010,378.999,848,509.001,928.999,260.001
"ABCG1",119.394,1109.622,280.619,1510.417,269.904,406.124
"ABCG2",2369,76,683.001,184,1442.999,80
"ABCG4",1,0,1,0,0,6
"ABCG5",0,0,0,0,1,2.774
"ABCG8",5.006,10.062,7.599,9.069,5.188,0
"ABHD1",0,21.13,4.027,19.705,13.567,3.738
"ABHD10",29,81.001,201.999,144,138,91.001
"ABHD11",1294.702,107.115,646.345,77.195,1183.177,218.137
"ABHD12",2485,594.553,1439.039,1129.999,1893.528,558.999
"ABHD12B",0,4.183,8.773,3.11,15.089,16.584
"ABHD13",210,387,445,314,406,131
"ABHD14A",7.129,42.682,31.754,88.403,22.47,31.112
"ABHD14A-ACY1",17.219,3.482,36.662,44.686,44.84,33.162
"ABHD14B",314,335,460.001,405,474.386,220.999
"ABHD15",62.511,344.978,215.378,499.651,271.249,202.308
"ABHD15-AS1",0,0,0,0,0,0
"ABHD16A",235.999,518.999,497,678.329,515,292
"ABHD16B",0,1,2,1,1,1
"ABHD17A",1023.771,2065.791,1130.707,1720.718,1401.012,839.268
"ABHD17AP1",0,1.735,0,0,2.796,2.732
"ABHD17AP3",1.228,0,5.294,0,3.79,0
"ABHD17AP4",0,0,0,0,0,0
"ABHD17AP5",0,1.475,0,8.283,0,0
"ABHD17AP6",0,0,0,0,3.401,0
"ABHD17AP7",0,0,0,0,0,0
"ABHD17AP8",0,0,0,0,0,0
"ABHD17AP9",0,0,0,0,0,1
"ABHD17B",93.964,453.025,180.961,521.431,204.598,169.563
"ABHD17C",2328,91,1184,91,1443,117
"ABHD18",160.042,200.279,233.361,244.633,218.451,106.997
"ABHD2",62.047,2194.755,1094.602,2611.902,1167.166,981.281
"ABHD3",36,347.81,405.803,372.98,383.294,117.202
"ABHD4",840.999,250.999,598.001,273,814.001,247
"ABHD5",3472.107,566.773,2091.767,569.156,4324.294,311.964
"ABHD6",21.913,34.212,81.262,117,81.541,47
"ABHD8",478,97,328,144,720,222
"ABI1",973.999,1315,1442,1580,1564.999,617
"ABI1P1",0,0,0,0,0,0
"ABI2",721.878,331.611,609.542,250.581,791.356,246.391
"ABI3",23,420,888.999,522,597,147
"ABI3BP",0,4,3.236,6.66,3,50.375
"ABITRAM",562,78,456,125,559,105
"ABITRAMP1",0,0,0,0,0,0
"ABL1",331,1034,362.588,1290.156,515.226,594
"ABL2",326.217,1144.705,469.496,3850.441,457.087,724.989
"ABLIM1",184.48,2788.36,249.672,2783.946,473.215,816.008
"ABLIM2",2,7,7,7,7,3
"ABLIM3",3,66.001,19,38,22,135
"ABO",13.236,10.72,19.197,45.137,12.45,14.978
"ABR",84,1643.583,1683.292,3191.501,1457.578,941.018
"ABR-AS1",0,0,0,0,0,0
"ABRA",0,0,0,0,0,0
"ABRACL",154,337,544,425,396,265
"ABRAXAS1",116.535,145.102,186.869,178.863,263.274,62.355
"ABRAXAS1P1",0,0,0,0,0,0
"ABRAXAS1P2",0,15.122,8.025,14.772,2.111,10.347
"ABRAXAS2",335,146,428,199,482,124
"ABT1",809,354,602,358,668,215
"ABT1P1",0,0,0,0,0,0
"ABTB1",345,1058,1188.001,652.999,917,333.998
"ABTB2",326,249,186,252,320,92
"ABTB3",2.003,179.948,53.976,196.007,108.943,130.001
"ACAA1",677,906.178,1122.047,908.067,1152.252,505.5
"ACAA2",1232.565,356.722,794.021,626.846,1697.103,280.754
"ACAA2P1",3.638,0,4.744,1.241,0,0
"ACACA",96.001,198.444,139.627,360.958,167.112,256.978
"ACACB",27.466,133.252,100.54,227.433,88.447,151.876
"ACAD10",38,140.007,232.747,191.294,164.17,106.004
"ACAD11",20.788,277.258,147.521,284.165,112.217,165.547
"ACAD8",52,225.026,225.016,244.141,207.365,135
"ACAD9",273.641,205.226,577.088,390.211,466.499,218.383
"ACAD9-DT",1,5,3,10,7.001,7.998
"ACADL",27.044,17.23,45.787,16.704,49.829,22.232
"ACADM",167.744,173.739,293.432,318.441,251.713,146.192
"ACADS",500,101,276,164,318,126
"ACADSB",41.596,181.348,162.839,208.488,177.298,129.369
"ACADVL",7614.001,2236.999,5071.001,3872.999,5756.999,2111.999
"ACAN",2,0.667,0,1.913,2.301,6
"ACAP1",61.14,2079.778,812.382,1515.896,774.903,519.548
"ACAP2",363.753,1125.968,1881.763,1189.927,1472.474,445.379
"ACAP2-IT1",0,3,12,2,7,3
"ACAP3",253.999,431,433.001,543,506.001,270
"ACAT1",32,157.515,248.967,363.282,194.533,168.528
"ACAT2",101,212.001,78.999,212,108,129
"ACBD3",2892,939,1906,1154,2585,716
"ACBD3-AS1",1,0,1,0,0,0
"ACBD4",274.918,67.968,186.041,62.388,186.014,39.251
"ACBD5",745.749,342.543,882.979,448.797,822.571,250.783
"ACBD6",1002.001,238,546.977,305.999,744,274.999
"ACBD7",20.196,69.203,22.231,42.54,24.457,36.05
"ACCS",9,105,105.001,151.999,64,33
"ACCSL",0,0,0,0,0,0
"ACD",176,146,167,179,289,137
"ACE",0,102.682,47.243,317.297,86.37,230.761
"ACE2",4.629,1,2.587,1.941,5.086,74.039
"ACE2-DT",0,0,1,0,0,2
"ACE3P",0,0,0,0,0,0
"ACER1",1.081,16.744,3.944,8.634,12.133,1.47
"ACER2",896,33,218,45,461,207
"ACER2P1",0,0,0,0,0,0
"ACER3",1768.18,595.11,1848.393,657.552,1886.908,412.668
"ACHE",0,40,12,69,5,20
"ACIN1",1963.999,2418,2901.001,2989,3014.999,1529.999
"ACKR1",0,0,0,0,8,7
"ACKR2",1673.277,60.559,512.612,60.518,1109.924,582.466
"ACKR3",6,129,96,811,78,663
"ACKR4",0,1,3,0,0,10
"ACKR4P1",0,0,0,4,4,0
"ACLY",1628,1010,2357,1870,2258,1235.999
"ACMSD",0,0,0,0,0,0
"ACNATP",0,0,0,0,0,0
"ACO1",1315.933,159.031,835.908,322,788.148,367.142
"ACO2",1423.747,869.509,1474.667,1670.098,1634.982,697.309
"ACOD1",2,2940,7,6504,18,303
"ACOT1",57.792,5.612,90.28,43.266,5.732,11.626
"ACOT11",44.903,99.493,76.843,151.478,57.963,85.504
"ACOT12",0,0,0,6,0,0
"ACOT13",617.067,62.629,286.544,96.581,339.273,95.889
"ACOT2",473.208,168.388,457.721,234.734,405.268,142.373
"ACOT4",120.814,10.907,63.73,14,67.205,25
"ACOT6",0,0,0,0,0,0
"ACOT7",659.977,142.784,384.815,160.523,522.886,349.803
"ACOT8",185,98.999,254,93.999,241.042,60
"ACOT9",325.608,943.564,639.127,1259.732,539.784,588.191
"ACOX1",893.438,399.996,1273.317,566.532,1184.641,750.792
"ACOX2",0,5,5,26,3,23
"ACOX3",369,109,339,183,392.999,120
"ACOXL",576.703,22.114,221.961,10.024,784.842,14
"ACOXL-AS1",1,0,2,0,7,0
"ACP1",3192.865,480,1471.998,496.001,2133,410
"ACP2",182,304.999,531.999,857,456,281
"ACP3",52,108.051,267.264,182.126,339.111,75.449
"ACP4",0,0,0,0,0,0
"ACP5",49.157,1224.268,1049.339,2718.609,1034.807,642.448
"ACP6",18.515,105.453,51.662,82.809,60.158,97.953
"ACP7",4.762,15.779,6.07,7.775,4.644,3.061
"ACR",0,0,0,4,0,0
"ACRBP",5,51,109.001,124,97.001,39
"ACRP1",0,0,0,0,1,0
"ACRV1",1,0,0,0,0,0
"ACSBG1",2.215,6.192,4.221,14.674,3.236,3.404
"ACSBG2",2.062,0,1.046,0,1,2
"ACSF2",82,93,255.168,177,195.001,141.059
"ACSF3",60.466,421.891,448.251,634.849,258.637,153.152
"ACSL1",341,33382.989,5548.001,24883.883,4319.001,5421.999
"ACSL3",206.945,767.352,473.359,1230.471,470.73,860.541
"ACSL3-AS1",0,0,0,0,0,0
"ACSL3P1",0,0,0,0,0,0
"ACSL4",5432.774,2999.001,5106.447,3972,8269.98,1769.001
"ACSL5",75,705,492.999,1358,538.999,698
"ACSL6",2.485,89.342,38.292,125.268,43.433,38.514
"ACSL6-AS1",0,0,0,0,0,0
"ACSM1",0,3,6,12,7,6
"ACSM2A",1.006,7.2,3.868,13.789,6.727,6.992
"ACSM2B",0,5.817,6.739,4.422,1.43,0.909
"ACSM3",17.003,60.998,48.305,80,128.999,62.002
"ACSM4",0,0,0,0,0,0
"ACSM5",0,29.965,1,11,10,8
"ACSM5P1",0,0,0,0,0,0
"ACSM6",1,2,0,1,1,0
"ACSS1",2910.953,825.999,1505.006,937.126,2492.858,1381.981
"ACSS2",945.999,245.042,744.999,275.792,889.643,210
"ACSS3",0,8.466,7,2,15.87,31
"ACTA1",0,3.038,6.046,4.11,1.008,1.008
"ACTA2",12.982,57.649,50.028,85.071,79.484,66.63
"ACTA2-AS1",0,1,0,1,1,0
"ACTB",5294.662,51304.55,66454.766,69056.226,49482.514,37580.845
"ACTBL2",3,0,4,1,20,2
"ACTBP1",0,3.001,6.062,4.08,2.024,2
"ACTBP11",0,0,4.122,9.332,1.018,3.425
"ACTBP12",0,0,0,0,1,1
"ACTBP14",0,1.999,0,0.987,1,1
"ACTBP15",0,2.001,7.614,0,8.118,4.677
"ACTBP16",0,0,0,1,2,0
"ACTBP2",0,3.061,10.239,1.037,6.289,7.545
"ACTBP4",1,12,1.281,14,1.103,0
"ACTBP6",0,1,2,0,0,0
"ACTBP7",1,1.001,4.039,3.623,2,0
"ACTBP8",0,17.001,5,6.205,5.069,5.165
"ACTBP9",0,4.155,2.263,9.524,5.328,1.002
"ACTC1",0,0,0,0,0,0
"ACTE1P",0,15.296,5.986,13.444,9.23,7.32
"ACTG1",16365.956,19958.104,25228.357,25183.02,23934.22,18485.231
"ACTG1P1",4.081,2.024,3.05,2.486,6.214,6.097
"ACTG1P10",1.011,0,1.016,1.162,1.034,1.131
"ACTG1P12",0,2.002,0,1,2,1
"ACTG1P13",0,0,0,0,0,0
"ACTG1P14",0,9.272,5.723,24.554,4.299,10.057
"ACTG1P15",0,1.02,2.019,1.007,0,3.78
"ACTG1P16",0,0,0,0,0,0
"ACTG1P17",0,20.195,14.924,13.127,5.787,0
"ACTG1P18",0,0,0,1,0,0
"ACTG1P19",0,0,4,0,1,1.012
"ACTG1P2",0,1,4.575,8.879,7.97,6.883
"ACTG1P20",0,4.26,10.802,7.57,5.059,2.111
"ACTG1P21",0,1,1.042,2,2,3
"ACTG1P22",15,1,2,0,1,0
"ACTG1P23",0,0,2.13,1.003,0,1.003
"ACTG1P24",1,0,0,3.002,3,2
"ACTG1P25",3.038,6.023,2.133,5.897,0,3.112
"ACTG1P3",1,4,2.048,2,3,0.977
"ACTG1P4",0,0,0,1.525,0,0
"ACTG1P9",7.08,18.949,17.744,20.678,9.684,16.111
"ACTG2",1,11.601,8.164,12.488,18.731,119.563
"ACTL10",4,4,8,3,8,1
"ACTL11P",0,1.04,0,0,0,0
"ACTL6A",244,152.003,344.139,163.469,432.666,206.995
"ACTL6B",0,0,0,0,0,0
"ACTL7A",0,0,0,0,0,0
"ACTL7B",0,0,1,0,0,0
"ACTL8",0,0,0,0,0,0
"ACTL9",0,0,0,0,0,0
"ACTMAP",309.44,106.957,241.839,179.022,205.967,75.334
"ACTN1",171.594,3266.549,2006.246,3602.179,1563.185,2623.45
"ACTN1-DT",0,0,0,2,0,0
"ACTN2",0,12.667,2,7,0,3.69
"ACTN3",0,2,0,2,0,3
"ACTN4",4788.654,3286.556,5562.442,4676.435,6516.891,4791.717
"ACTN4P1",0,0,1.047,0,0,0
"ACTN4P2",0,0,0,0,0,0
"ACTP1",0,0,0,0,1,1
"ACTR10",1990.355,290.532,1329.104,395.691,1667.497,299.369
"ACTR1A",3582.037,1081.058,2688.013,1342.023,3250.625,891.997
"ACTR1AP1",0,0,0,0,0,0
"ACTR1B",180.963,536.996,330.987,743.976,478.001,364.003
"ACTR2",6404.001,4853,9567,6189,9548.878,2592.282
"ACTR3",3438.196,4722.304,6224.319,5078.962,5620.56,2162.49
"ACTR3-AS1",2,13.024,8.052,10,3.08,2.01
"ACTR3B",219.316,42.651,130.649,36.842,156.718,49.152
"ACTR3BP1",0,0,0,0,0,0
"ACTR3BP2",0,0,0,0,0,0
"ACTR3BP3",0,0,0,0,0,0
"ACTR3BP4",0,0,0,0,0,0
"ACTR3BP5",0,0,0,0,0,0
"ACTR3BP6",0,0,0,0,0,0
"ACTR3BP7",0,0,0,0,0,0
"ACTR3C",116.39,11.602,80.71,20.032,120.35,19.045
"ACTR3P2",0,0,0,0,0,0
"ACTR3P3",0,0,0,0,0,0
"ACTR5",27,107,81,138,69,46
"ACTR6",435,117.067,560.067,111,516.071,72.001
"ACTR6P1",0,0,0,0,0,0
"ACTR8",232,199,274,268,287,110
"ACTRT1",0,0,0,0,0,0
"ACTRT1P1",0,0,0,0,0,0
"ACTRT2",0,0,0,0,0,0
"ACTRT3",46,5,25,3,41,4
"ACVR1",391.805,171.139,308.008,285.019,457.206,186
"ACVR1B",61,558,339,495,220,295
"ACVR1C",6,7,0,2,4,6
"ACVR2A",29,276.185,87.001,180,53.999,83.001
"ACVR2B",1153.419,139.358,298.325,50.932,543.681,81.664
"ACVR2B-AS1",39.48,7.506,18.264,11.051,16.763,9.518
"ACVRL1",1466.277,108.656,176.973,150.539,477.959,1557.535
"ACY1",120.78,71.768,90.67,93.519,105.125,48.806
"ACY3",2,12,2,19,2,7
"ACYP1",269,28,143,38,130.001,34
"ACYP2",197.775,45.379,143.386,65.115,158.103,54.341
"ADA",40.668,1168.004,330.931,1720.489,241.467,408.297
"ADA2",174.816,3971.039,6725.672,9192.796,6476.775,2303.759
"ADAD1",0,0,0,0,0,3
"ADAD1P1",0,0,0,0,0,0
"ADAD1P2",0,0,0,0,0,0
"ADAD2",2,9,2,15,1,5
"ADAL",57.998,36.989,36.001,34.977,41.798,16
"ADAM10",2325.15,2879.549,3034.6,3167.141,3061.223,1870.302
"ADAM11",1,2,1,1,4,0
"ADAM12",57203.999,1323,12224,1705,19294,6806
"ADAM15",87,330.999,944.002,812,631,901.001
"ADAM17",464.524,2614.398,1210.615,2753.326,1110.475,880.334
"ADAM18",1,0,0,0,0,0
"ADAM19",875,1771,889,2386.999,1207,3226
"ADAM1A",0,0,0,0,0,0
"ADAM1B",0,3.984,2.919,3.831,2.436,0
"ADAM2",4,0,9,0,0,0
"ADAM20",2,0,4,1,2,2
"ADAM20P1",3,2,1.126,2,7,0
"ADAM20P2",0,0,0,0,0,0
"ADAM20P3",0,0,0,0,0,0
"ADAM21",0,0,0,0,0,0
"ADAM21P1",0,0,0,0,0,0
"ADAM22",2,35.999,5,25,11,36
"ADAM23",1,81,3,35,6,3
"ADAM24P",0,0,0,0,0,0
"ADAM28",35,241,508.001,652.001,394.984,112
"ADAM29",0,5.605,6.037,4.098,0,1.003
"ADAM30",1,0,0,0,0,0
"ADAM32",4,35.301,28.357,17.824,8.94,4
"ADAM33",0,2.076,0,1.037,0,0
"ADAM3A",0,22.742,0,17.038,0,0
"ADAM3B",0,0,0,0,0,0
"ADAM5",1.521,3,0,2.03,0,0
"ADAM6",0,0,0,0,0,0
"ADAM7",0,0,0,0,0,0
"ADAM7-AS1",0,4,6.042,10,19,1
"ADAM7-AS2",0,0,0,0,0,0
"ADAM8",62,5069.999,1771,4318,1237.999,1655.001
"ADAM9",211.01,1103.337,901.177,2492.769,862.144,1736.899
"ADAMDEC1",6,218,106,307,106,51
"ADAMTS1",7,95.854,15.926,46.934,114.041,3626.12
"ADAMTS10",5,301.001,44,246,31,118.001
"ADAMTS12",0,0,0,1,0,6
"ADAMTS13",5,16,6,22,7,4
"ADAMTS14",0,5,1,5,7,9
"ADAMTS15",0,3,0,2,2,5
"ADAMTS16",0,0,0,0,0,0
"ADAMTS16-DT",0.99,15.132,2.569,15.96,2,4.05
"ADAMTS17",0,92.82,0,70.1,4.024,19.557
"ADAMTS18",0,2,0,6,5,53
"ADAMTS19",0,0,1,0,3,30
"ADAMTS19-AS1",0,0,0,0,1,1
"ADAMTS2",9,254.274,104.89,73.547,15.786,10.985
"ADAMTS20",1,0,1,0,0,1
"ADAMTS3",115,11,53,13,190,20
"ADAMTS4",3.197,23.55,21.829,34.436,22.908,38.445
"ADAMTS5",2,12,14,15,16,74
"ADAMTS6",415.999,55,257,55,223,50
"ADAMTS7",0,8.182,0,0.98,5.001,58.575
"ADAMTS7P1",0,25.249,0,4.253,0,6.425
"ADAMTS7P3",0,2.798,0,0,0,0
"ADAMTS7P4",1,5.77,0,8.767,1,0
"ADAMTS8",0,1,0,0,1,3
"ADAMTS9",0,2,2,9,12,79.996
"ADAMTS9-AS1",0,0,0,0,0,0
"ADAMTS9-AS2",0,0,0,0,0,2.148
"ADAMTSL1",28,6,10,3,42.001,108
"ADAMTSL2",1.671,26.279,1.254,16.7,4.04,0
"ADAMTSL3",13.293,48.413,28.494,45.816,36.095,36.071
"ADAMTSL4",4723.316,547.275,2339.636,939.859,4200.728,1320.305
"ADAMTSL4-AS1",13.768,164.72,53.281,99.017,100.955,64.883
"ADAMTSL4-AS2",0,103,18,35,19,12
"ADAMTSL5",1,5.581,4,2,12.002,55.999
"ADAP1",31,615,636.694,549.536,566.219,428
"ADAP2",105,496.008,1359.932,1201.815,749,152.063
"ADAR",2995.695,3903.827,5165.215,5131.914,5823.065,2939.638
"ADARB1",127.087,387.318,404.903,655.953,325.62,178.656
"ADARB2",0,2.181,4.003,14.106,5.002,0
"ADARB2-AS1",0,0,0,0,0,0
"ADAT1",516.469,227.145,471.036,254.177,673.888,215.889
"ADAT2",8.384,193.704,63.488,156.617,42.111,47.523
"ADAT3",75,62,91,71.98,92.796,26.624
"ADCK1",70.304,73.194,95.521,119.734,94.761,42
"ADCK2",258,202,272,298.999,383,253
"ADCK5",6,44,77.999,77,43,41
"ADCY1",7.007,2.02,2.854,4.628,4.002,2.128
"ADCY10",2,3,1,1,2,5
"ADCY10P1",5.176,131.777,78.767,84.957,54.821,37.142
"ADCY2",10.015,6.414,12.498,12.305,8.759,15.371
"ADCY3",150.001,881,272,743,262,308
"ADCY4",3.881,67.382,48.74,52.905,26,165.938
"ADCY5",104.999,4,17,1,33,0
"ADCY6",56.344,17.847,26.206,24.712,55.033,126
"ADCY6-DT",0,0,0,0,3,0
"ADCY7",605.019,2141.36,3061.208,3186.454,2459.216,1606.59
"ADCY8",0,0,0,0,0,0
"ADCY9",18,100.933,104.805,225.055,157.361,146
"ADCYAP1",1,5,3,15,9,186
"ADCYAP1R1",1,0,0,0,0,0
"ADD1",2157.001,2403.786,2972.868,2950.681,3155.925,1479.042
"ADD2",4.118,146.872,185.407,412.863,126.404,52.123
"ADD3",204.76,2211.01,1386.185,1893.206,1237.024,793.5
"ADD3-AS1",0,6.496,0,2.782,3.06,2.274
"ADGB",0,2.02,2.018,2.011,2.944,5.185
"ADGB-DT",0,0,0,0,0,0
"ADGRA1",0,0,0,0,0,0
"ADGRA1-AS1",0,0,0,0,0,0
"ADGRA2",6,116,134,115,54,55
"ADGRA3",215.494,116.324,101.237,67.494,108.079,166.815
"ADGRA3P1",2.254,0,0,0,1.081,2.286
"ADGRB1",1,39,18,40.001,38,15
"ADGRB2",0,8,2,13,2,36.999
"ADGRB3",0,6,6,4,7,0
"ADGRB3-DT",1,15,31.001,9,22.999,12
"ADGRD1",4,37.82,66.485,89.987,36.999,40.225
"ADGRD1-AS1",0,1,0,2,0,0
"ADGRD2",1.305,36.233,13.938,23.637,16.302,15.821
"ADGRE1",10,307,301,280.999,295.999,94
"ADGRE2",55.213,1898.821,1488.501,2097.919,1563.653,783.661
"ADGRE3",2,200.169,263.594,251.27,277.445,93.871
"ADGRE4P",0,0,0,0,11.127,0
"ADGRE5",907.42,9351.609,5296.666,9738.516,4698.383,4342.449
"ADGRF1",6.275,21.354,11.426,24.1,18.174,31.58
"ADGRF2",1,0,0,0,0,0
"ADGRF3",0,14,2,13,7,4
"ADGRF4",228,9,94,5,117,91
"ADGRF5",9,29,15.386,29,22.356,433.73
"ADGRF5-AS1",0,0,0,0,0,0
"ADGRF5P1",0,0,3.614,0,5.258,3.27
"ADGRF5P2",0,0,0,0,7.386,0
"ADGRG1",115,942.957,170.033,823.646,398.041,1702.982
"ADGRG2",13.251,16.476,13.835,14.445,17.985,30.936
"ADGRG3",17,4580.999,516.001,860,214,318
"ADGRG4",0,0,0,0,1,3
"ADGRG5",12.001,176,51,128,54,42
"ADGRG6",1467.999,132.001,623,113,1405,479.999
"ADGRG7",0,0,0,0,0,0
"ADGRL1",1,401.002,31,298.001,33,109.013
"ADGRL1-AS1",27.411,41.739,51,71,62.072,32
"ADGRL2",37.002,23.234,12,32.123,27.004,242.007
"ADGRL3",112,5,159.001,5,325.999,22
"ADGRL3-AS1",0,0,0,0,0,0
"ADGRL4",0,20,7,12,42,198
"ADGRV1",40.074,37.577,67.286,32.774,65.332,19.746
"ADH1A",0,0,0,0,1,0
"ADH1B",0.976,4.907,5.465,10.701,0,1.047
"ADH1C",0,0,0,0,0,0
"ADH4",1,0,1,1,1.001,2
"ADH5",127.999,317.392,481.02,419.61,438.998,516.803
"ADH5P2",0,0,0,0,0,0
"ADH5P3",0,0,0,0,0,0
"ADH5P4",0,0,0,0,0,0
"ADH5P5",1.022,0,0.843,0,0,0
"ADH6",0,0,0,0,0,0
"ADH7",0,0,0,0,0,0
"ADHFE1",6429.866,222.999,1395.137,122.771,5326.018,80.838
"ADI1",3253.196,451.45,1844.876,504.882,1857.882,503.603
"ADI1P1",0,0,0,0,0,0
"ADI1P2",0,0,0,0,0,0
"ADI1P3",0,0,0,0,0,0
"ADIG",0,0,0,0,1,0
"ADIPINT",1.313,10.106,2.858,3.011,2.205,3.135
"ADIPOQ",0,5.093,2.612,7.469,0,2.633
"ADIPOQ-AS1",0,4.938,2.374,3.489,0,0
"ADIPOR1",7919,1888,3427,2086,5270,1181.999
"ADIPOR1P1",0,0,0,0,0,0
"ADIPOR1P2",0,0,0,0,0,0
"ADIPOR2",827,1098,873,1623,933.999,707
"ADIRF",1361.957,24,339,13,1060,126
"ADIRF-AS1",504.429,76.471,166.483,123.669,384.048,62.536
"ADISSP",10,126,229,254,202,100.999
"ADK",2019.972,217.484,1064.83,208.547,1602.411,246.92
"ADM",2207.999,1939,1419,2293,2927.001,4870
"ADM-DT",19,12,6,25,10,10
"ADM2",3.132,45.23,9.335,36.379,4.149,47.993
"ADM5",5,10,0,0,6,1
"ADNP",1602.022,1270.562,1576.848,1692.17,1820.001,804
"ADNP-AS1",13.994,3,7,3,16.315,3
