"gene","SRR26204551","SRR26204552","SRR26204555","SRR26204556","SRR26204559","SRR26204560"
"5S_rRNA",0.125,0.125,0.25,0,0.125,0
"5_8S_rRNA",0,0,0,0,0,0
"7SK",7.16666666666667,32.8333333333333,10.5,14.5,5.33333333333333,15.6666666666667
"A1BG",45,69,46,76,15,37
"A1BG-AS1",40,64,65,80,47,64
"A1CF",0,2,1,0,0,0
"A2M",1259,8935,1050,5012,527,16061
"A2M-AS1",1,34,7,9,2,8
"A2ML1",9,9,18,25,16,19
"A2ML1-AS1",0,0,0,0,1,0
"A2ML1-AS2",0,0,0,0,0,0
"A2MP1",0,0,0,0.5,0,1
"A3GALT2",1,1,1,0,0,0
"A4GALT",92,48,51,147,78,238
"A4GNT",0,1,0,0,0,1
"AA06",0,0,0,0,0,0
"AAAS",641,262,571,318,510,355
"AACS",944,322,420,352,598,267
"AACSP1",0,1,0.5,0,0.5,0
"AADAC",0,0,0,0,0,0
"AADACL2",0,0,0,0,0,0
"AADACL2-AS1",2,0,2,1,0,3
"AADACL3",2,14,0,22,0,383
"AADACL4",0,0,0,0,0,0
"AADACP1",0,0,0,1,0.5,0
"AADAT",30,2,5,6,2,25
"AAGAB",1202,432,792,697,781,335
"AAK1",2942,2277,2545,2736,2244,1246
"AAMDC",96,66,85,87,87,66
"AAMP",3635,1075,2491,1035,2493,658
"AANAT",2,1,0,0,0,1
"AAR2",1045,258,760,480,673,261
"AARD",38,16,29,22,34,1
"AARS1",1472,732,1351,1132,1271,1019
"AARS1P1",0,0,0,0,0,0
"AARS2",157,207,232,297,100,205
"AARSD1",208,170,177,212,144,142
"AARSD1P1",9,0,2,0,5,0
"AASDH",242,115,202,124,123,114
"AASDHPPT",911,233,600,251,608,319
"AASS",48,68,31,66,28,82
"AATBC",71,43,203,42,65,30
"AATF",2417,879,1971,916,1683,618
"AATK",73,587,317,1351,42,155
"ABALON",11,1,5,9,17,2
"ABAT",1002,230,822,281,761,133
"ABCA1",637,3639,511,6373,222,3863
"ABCA10",14,11,6,23,16,11
"ABCA11P",318,21,80,11,164,15
"ABCA12",7,1,6,3,2,13
"ABCA13",7,9,1510,168,19,10
"ABCA15P",5,9,16,12,3,7
"ABCA17P",2,0,0,4,2,0
"ABCA2",174,1495,382,1653,95,313
"ABCA3",32,133,60,158,25,101
"ABCA3P1",0,0,0,0,0,0
"ABCA4",16,2,2,7,2,16
"ABCA5",213,557,233,313,118,130
"ABCA6",11,107,17,110,10,50
"ABCA7",639,1740,1422,1923,325,512
"ABCA8",13,10,5,2,0,3
"ABCA9",43,61,22,21,14,15
"ABCA9-AS1",10,0,1,0,0,1
"ABCB1",209,639,304,685,46,195
"ABCB10",230,332,333,494,414,304
"ABCB10P1",0,0,0,0,0,0
"ABCB10P3",0,0,0,0,0,0
"ABCB10P4",0,0,0,0,0,0
"ABCB11",10,13,4,11,9,7
"ABCB4",45,27,44,37,10,59
"ABCB5",2,8,4,20,12,11
"ABCB6",32,39,46,134,127,39
"ABCB7",587,417,421,459,247,294
