"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"5S_rRNA",0,NA,NA,NA,NA,NA
"5_8S_rRNA",0,NA,NA,NA,NA,NA
"7SK",7.140517823565,0.535960425772631,2.34066590096114,0.228977756096054,0.818886204921924,NA
"A1BG",32.6068930355411,0.542096677116225,1.19366292371496,0.454145526635856,0.649724087249467,0.852672391839912
"A1BG-AS1",51.5607003052999,0.288859144427696,1.00177966482354,0.288345985220791,0.773081910056166,0.910398229208783
"A1CF",0.29965484779674,2.2249267189133,5.94809120947645,0.37405726317185,0.70836171348144,NA
"A2M",890.200178981365,0.127526005724606,0.45251383351188,0.281816811510268,0.77808397947941,0.912202032295078
"A2M-AS1",3.27585702280885,1.86448495530631,3.41223212908602,0.546412109367752,0.584782688062854,NA
"A2ML1",15.0862578828654,0.169573357731585,1.71661139293842,0.0987837774053897,0.921309949241834,NA
"A2ML1-AS1",0.455993585780453,-1.951880622736,6.08745070361914,-0.320640070493804,0.748483167762245,NA
"A2ML1-AS2",0,NA,NA,NA,NA,NA
"A2MP1",0,NA,NA,NA,NA,NA
"A3GALT2",0.565940764467502,0.884411826688365,5.9321028299933,0.149089092356372,0.881483332735955,NA
"A4GALT",75.3482012622192,-0.97092740578596,0.847288156846124,-1.14592349478843,0.251826808871546,0.577632646019064
"A4GNT",0,NA,NA,NA,NA,NA
"AA06",0,NA,NA,NA,NA,NA
"AAAS",574.348919425928,-0.235368255861233,0.477236379302707,-0.493190096289665,0.621878274996669,0.837222605265777
"AACS",649.913105708541,-1.0576380710594,0.452930808700686,-2.33509854207849,0.0195382734761388,0.150277761911943
"AACSP1",0,NA,NA,NA,NA,NA
"AADAC",0,NA,NA,NA,NA,NA
"AADACL2",0,NA,NA,NA,NA,NA
"AADACL2-AS1",1.131881528935,1.12685893333295,5.79798122458788,0.194353670645605,0.845898963629683,NA
"AADACL3",0.532571833341524,-2.31563083906919,6.06118089784875,-0.382042852390539,0.702429579462339,NA
"AADACL4",0,NA,NA,NA,NA,NA
"AADACP1",0,NA,NA,NA,NA,NA
"AADAT",10.3988389106675,-1.58735176397998,2.1738226098395,-0.730212187873589,0.465260493786907,NA
"AAGAB",913.533301787808,-0.510229025983073,0.431825819852564,-1.1815621079751,0.237379496090809,0.56472543771135
"AAK1",2569.28436097942,-0.243915303342061,0.409851237188615,-0.5951313091433,0.551755701709688,0.796818129192592
"AAMDC",90.7055520260155,-0.352248424682356,0.790716476164525,-0.445480061818091,0.655972865355383,0.856826008091483
