"","SRR26204549","SRR26204550","SRR26204553","SRR26204554","SRR26204557","SRR26204558"
"ENSG00000168883",1083.001,356.324,895,521,986.001,384
"ENSG00000168884",1051.001,437.001,761.999,793.001,1017,315.001
"ENSG00000168887",826.048,295.964,697.528,297.903,794.194,237.98
"ENSG00000168890",349,70,222,140.999,262,146
"ENSG00000168894",1829.748,192.934,937.243,318.085,1110.257,279.905
"ENSG00000168899",86,109,294,105,299,70
"ENSG00000168903",0,0,0,0,0,0
"ENSG00000168904",117.281,114.178,152.9,154.635,152.862,151.607
"ENSG00000168906",1658.999,2463,2874,3799.969,2995,1759.001
"ENSG00000168907",5,2,2,0,3,4
"ENSG00000168913",0,1,17,4,4,5
"ENSG00000168916",5,51,68,96,83.999,41
"ENSG00000168917",16.643,8,3,3.385,5.594,26.11
"ENSG00000168918",571.935,3368.363,3009.223,4000.362,2787.297,1190.367
"ENSG00000168924",118.262,327.842,303.982,516.835,317.945,242.62
"ENSG00000168925",0,0,4.975,0,1,3.362
"ENSG00000168928",5,0,0,0,1,6.638
"ENSG00000168930",0,0,0,0,0,2
"ENSG00000168936",124,174.999,193.999,174.001,229,132
"ENSG00000168938",321.302,15,71,24,106,289.991
"ENSG00000168939",17,28,34,24,24,23
"ENSG00000168944",61.126,288,313,431.999,394,189
"ENSG00000168952",3,16,0,13.001,9.001,40
"ENSG00000168955",0,3.863,0,1,0,0
"ENSG00000168958",1469,428.002,1172.998,475.9,1366.002,389.999
"ENSG00000168959",0,0,0,0,0,0
"ENSG00000168961",82.95,1169.68,2792.891,2602.535,1822.136,739.725
"ENSG00000168967",0,0,0,0,0,0
"ENSG00000168970",16.91,256.106,165.244,312.589,130.708,67.677
"ENSG00000168992",1.001,0,0,0,0,0
"ENSG00000168993",66,12,27,17,38,4
"ENSG00000168994",6383,354.001,2862,352,4924.001,678
"ENSG00000168995",10,234.98,360.281,263.323,332.934,86.983
"ENSG00000169006",0,0,0,0,0,0
"ENSG00000169016",775.001,117.264,420.246,164.315,550.365,75
"ENSG00000169018",968,579.001,1154,851,1156,374.999
"ENSG00000169019",205,90,428,121,397,50
"ENSG00000169020",516,225,448,274,557,233
"ENSG00000169021",2022.313,553.643,1237.9,721.986,1547.857,456.531
"ENSG00000169026",2,98.999,125.001,249,120.001,56
"ENSG00000169031",6.011,15.826,99.699,19.004,48.367,10.171
"ENSG00000169032",275.797,1973.143,1283.84,2527.887,1434.018,1046.902
"ENSG00000169035",1.003,1.884,0,1.739,0,5.568
"ENSG00000169040",0,0,0,0,0,0
"ENSG00000169045",3875.475,9014.054,6754.76,9314.748,6508.569,3175.066
"ENSG00000169047",16,77.139,44.762,88,138,91.074
"ENSG00000169057",817.701,2179.805,762.48,2426.996,978.215,818.999
"ENSG00000169059",0,0,0,0,0,0
"ENSG00000169062",1210.087,499.355,845.316,465.539,931.575,308.396
"ENSG00000169064",2,5,0,0,2,1
"ENSG00000169067",3,0,4,1,20,2
"ENSG00000169071",0,1,2,13,5,4
"ENSG00000169075",0,0,0,0,0,0
"ENSG00000169083",29.111,12.443,11.147,22.608,24.552,25.994
"ENSG00000169084",643.823,112.829,300.507,147.249,429.261,137.24
"ENSG00000169085",31.595,12,0,2.689,0,9
"ENSG00000169087",563,187.219,626,139,671.999,127.001
"ENSG00000169093",445,293,254,469,389,220
"ENSG00000169100",10241.927,3695,6688,4903,9159,2822
"ENSG00000169105",59,86,142,95,148,273
"ENSG00000169116",7,17,108,19,41,21
"ENSG00000169118",208.38,233.763,352.991,324.096,367.366,224.812
"ENSG00000169122",1,31,42,51,81,37
"ENSG00000169126",0,1,1,4,3.036,27
"ENSG00000169129",1,137,15,56,20,107
"ENSG00000169131",627.675,142.166,342.997,141.804,693.409,132.828
"ENSG00000169136",1298.034,488.798,1105.014,1454.044,1200.085,304.882
"ENSG00000169139",2242.633,286.861,1568.501,267.461,1796.596,208.235
"ENSG00000169154",0,0,0,0,0,0
"ENSG00000169155",363.495,1441.574,289.536,1597.443,431.554,509.182
"ENSG00000169164",0,0,1,0,0,0
"ENSG00000169169",7.166,16.196,12.028,17.974,16.689,7.424
"ENSG00000169174",2,0,2,1,0,10
"ENSG00000169180",1597,3669.001,2812,2379,2538.999,946.994
"ENSG00000169181",0,0,0,0,0,0
"ENSG00000169184",4,237.152,23.791,774.391,20.003,137.057
"ENSG00000169188",314.056,171.133,388.988,213.719,390.846,194.003
"ENSG00000169189",251,257.144,288,212,368.001,164
"ENSG00000169193",35,59,91,29,92,27
"ENSG00000169194",0,23,1,22,0,8
"ENSG00000169203",29.052,153.058,47.708,23.825,214.733,133.761
"ENSG00000169208",1.665,25.261,8.144,24.132,1.823,2.931
"ENSG00000169213",12771.314,317.156,2560.853,96.788,7351.014,250.16
"ENSG00000169214",1,0,0,0,0,0
"ENSG00000169217",1419,506,981,620.001,1244,400
"ENSG00000169218",8,0,0,0,0,0
"ENSG00000169220",30,372.001,856,307.001,511.001,140
"ENSG00000169221",876.338,724.046,1082.881,859.196,1126.49,507.839
"ENSG00000169223",1631.513,1047.154,1707.327,1641.923,1693.199,1330.248
"ENSG00000169224",1,105.81,10.001,38,10.005,21
"ENSG00000169228",431.417,493.462,974.32,482.077,977.114,370.344
"ENSG00000169230",1359.793,486.159,1485.773,699.895,1944.139,810.708
"ENSG00000169231",59,199.001,148,295.001,118,142.001
"ENSG00000169239",63.533,275.007,249.908,248.899,228.568,104.839
"ENSG00000169241",326.528,197.258,347.79,316.043,366.396,210.639
"ENSG00000169242",44,93,41,117,68,1030
"ENSG00000169245",1,100,298,241,248,169
"ENSG00000169246",926.466,5106.75,2469.494,4828.064,2369.036,2086.025
"ENSG00000169247",1851.879,85.324,414.028,32.626,838.341,146.936
"ENSG00000169248",0,12,17,20,35,35
"ENSG00000169249",307.627,263.273,405.572,185.461,477.991,110.474
"ENSG00000169251",814.011,385.326,611.783,460.865,933.888,302.183
"ENSG00000169252",4,211,99,388,151,80
"ENSG00000169253",0,0,3.806,1.032,1.016,1.023
"ENSG00000169255",5.225,32.229,33.426,83.41,75.014,87.133
"ENSG00000169258",5,10,17,27,17,41
"ENSG00000169271",0,0,0,0,0,0
"ENSG00000169282",2,19,4,20,7,35.001
"ENSG00000169288",756.999,131,448,130,566,92
"ENSG00000169291",4.007,56.643,7.963,48.438,16.686,49.575
"ENSG00000169297",0,0,0,2,1,13
"ENSG00000169299",1525.001,329,1488,528,2003,402.999
"ENSG00000169302",1,0,0,0,1.001,1.361
"ENSG00000169306",0,1,0,0,0,0
"ENSG00000169313",4,21,57,10,39,2
"ENSG00000169314",0,1,1,0,1,0
"ENSG00000169325",0,0,0,0,0,0
"ENSG00000169327",0,15.85,3.995,5.189,3.083,7.431
"ENSG00000169330",10,7,6,2,16,27
"ENSG00000169340",1.999,0,0,2.928,0,0
"ENSG00000169344",0,0,0,0,0,0
"ENSG00000169347",0,4.947,2.861,15.883,2.374,7.953
"ENSG00000169359",94.078,182.904,349.565,277.54,245.337,175.764
"ENSG00000169371",321.687,116.449,327.153,159.225,346.831,142.599
"ENSG00000169372",134,45,149,125.001,174,87
"ENSG00000169375",1224.25,1235.823,1124.441,1433.846,1443.671,670.273
"ENSG00000169379",6.036,62.572,77.465,116.608,92,26.016
"ENSG00000169385",26.621,156.944,308.72,197.154,289.088,82.19
"ENSG00000169393",0,0,0,0,0,0
"ENSG00000169397",3.09,45.873,16.745,99.873,20.167,16.948
"ENSG00000169398",1846.871,225.032,1161.926,325.793,1845.24,824.14
"ENSG00000169402",4.974,3.265,11.62,2,0,3
"ENSG00000169403",76.335,4097.471,1936.534,3534.814,1642.388,684.848
"ENSG00000169410",326.495,254.659,517.876,483.029,660.854,365.176
"ENSG00000169413",34,441,979,769,1031,196
"ENSG00000169418",0,2,6,4,13,33
"ENSG00000169427",0,0,0,0,2,0
"ENSG00000169429",974.999,169313.001,7497.001,130355,19297,22906.001
"ENSG00000169432",0,155.627,30.764,79.362,19.576,51.829
"ENSG00000169435",91.542,15.694,76.976,24.67,139.222,113.354
"ENSG00000169436",0,1,3,26,0,13
"ENSG00000169439",19.001,173.001,94,641,180,209.999
"ENSG00000169442",77,1440.001,2779,2243,2018,674
"ENSG00000169446",1330.999,493,724,500,982,206
"ENSG00000169469",2,0,0,0,0,0
"ENSG00000169474",0,0,0,0,0,0
"ENSG00000169484",0,0,0,0,0,0
"ENSG00000169488",0,0,0,0,0,0
"ENSG00000169490",108.021,327.85,274.289,313.048,201.376,201.954
"ENSG00000169495",318.251,69.334,152.019,276.871,41.453,2131.859
"ENSG00000169499",233.192,3312.736,1718.415,3762.962,1459.193,979.754
"ENSG00000169504",14278.254,2135.001,9352.722,2928,13413,2605
"ENSG00000169507",20.039,3,43,17.001,62.063,8.001
"ENSG00000169508",128,5719,1476,14496,4372,3088
"ENSG00000169509",335,5,67,2,129,4
"ENSG00000169515",2.001,7.153,16.183,11.919,8.056,23.002
"ENSG00000169519",175.71,86.029,169.046,103.093,201.109,63.001
"ENSG00000169548",0,0,0,0,0,0
"ENSG00000169550",4971.557,93.677,3423.528,80.014,4793.681,121.034
"ENSG00000169551",0,0,0,0,1,0
"ENSG00000169554",153,7220.565,3381.012,10362.726,3256.007,2564.004
"ENSG00000169562",1.921,12.708,2.938,14.761,2.589,3.02
"ENSG00000169564",20994.507,6495.295,12322.99,6690.999,16304.972,4064
"ENSG00000169567",465.787,1020.854,931.369,1113.983,1055.519,793.035
"ENSG00000169570",33.127,63.288,71.498,74.862,73.348,12.201
"ENSG00000169575",0,0,0,0,0,0
"ENSG00000169583",7319,430,4913.999,385,6615,532.999
"ENSG00000169592",762.001,432,740,485.999,833.999,392.999
"ENSG00000169594",19,2,24,0,10,36
"ENSG00000169598",7.038,89.114,82.72,93.396,58.873,90.648
"ENSG00000169599",510,118,382,162,537.114,190
"ENSG00000169604",9,51,9.999,73,31,586
"ENSG00000169605",0,0,1,3,1,53
"ENSG00000169607",3.277,65.832,21.408,86.014,27.122,91.028
"ENSG00000169609",327.82,283.605,356.669,310.715,470.548,155.403
"ENSG00000169612",946.01,124.157,528.654,188.424,506.848,167.741
"ENSG00000169618",0,0,0,0,0,0
"ENSG00000169621",16,23,32.001,18,33.921,6
"ENSG00000169627",58.663,34.078,60.192,58.067,65.92,28.898
"ENSG00000169629",37.272,273.791,102.974,168.978,122.659,41.436
"ENSG00000169635",242.26,249.933,142.424,354.509,284.612,480.435
"ENSG00000169641",229,896.001,238,1094.123,404,477
"ENSG00000169660",75,271.999,301.008,332.481,258.367,112.059
"ENSG00000169662",0,0,0,0,0,0
"ENSG00000169668",0,0,0,0,0,0
"ENSG00000169676",1,0,0,0,0,2
"ENSG00000169679",17,105.001,50,180,42,103
"ENSG00000169682",210.957,413.65,557.871,742.947,623.061,347.829
"ENSG00000169683",32,76,98.001,96,101,156.999
"ENSG00000169684",3.923,15.179,5.38,7.206,11.948,37.499
"ENSG00000169688",0,0,0,0,0,0
"ENSG00000169689",337.001,77,230,101,244,175
"ENSG00000169692",149,267,509,463.001,454,165
"ENSG00000169696",554.994,169.376,351.267,255.391,513.417,732.304
"ENSG00000169704",3,8,2,3,11,2
"ENSG00000169710",353,1162.999,443,2061,507.001,852.035
"ENSG00000169714",9892.897,2805.835,7976.053,2893.144,9289.778,1656.926
"ENSG00000169715",1.996,8.054,6.046,5.079,32.795,21.035
"ENSG00000169717",0,0,0,0,0,0
"ENSG00000169718",544.999,497,622.001,657,700,345
"ENSG00000169727",849,419.999,961,581,1071,513.999
"ENSG00000169733",149,191.999,181.999,198.001,249,153
"ENSG00000169738",1333.002,356,843.001,419,542,258
"ENSG00000169740",61,109,103,93,124,71
"ENSG00000169744",5,130,5,69,22,108.001
"ENSG00000169750",92,11,32,16,43,60
"ENSG00000169752",10.993,13.265,24.444,13.716,15.163,11.448
"ENSG00000169756",921.498,2281.69,1908.839,3951.207,1842.444,1433.137
"ENSG00000169758",11.855,23.866,18.279,33.91,18.546,42.719
"ENSG00000169760",17,1,35,6,30,7
"ENSG00000169762",597.009,473.625,603.744,475.017,862.68,186.71
"ENSG00000169763",0,0,0,0,0,0
"ENSG00000169764",4632.998,1095.002,2680,1419.822,3133.297,1137
"ENSG00000169777",0,0,0,0,0,0
"ENSG00000169783",0,0,0,0,0,0
"ENSG00000169789",0,0,0,0,0,0
"ENSG00000169800",0,0,0,0,0,0
"ENSG00000169807",0,0,0,0,0,0
"ENSG00000169811",0,0,1,0,0,0
"ENSG00000169813",3476,1969.001,3567,2847.176,3788,1791.001
"ENSG00000169814",64.725,154.682,130.802,302.129,147.558,175.917
"ENSG00000169826",77,3190.129,1232.929,3359.185,1018.923,876
"ENSG00000169836",0,0,0,0,1,15
"ENSG00000169840",0,0,0,0,0,0
"ENSG00000169849",0,0,0,0,0,0
"ENSG00000169851",0,1,0,0,2,2
"ENSG00000169855",3,103.054,12.528,71,31.125,61
"ENSG00000169856",0,2,0,0,0,0
"ENSG00000169857",966,97.242,508.44,99.731,898.776,218
"ENSG00000169860",0,116,90,193.002,84,66
"ENSG00000169862",0,1,0,9,1,106
"ENSG00000169871",1004.737,841.133,1170.627,1057.72,1178.502,828.348
"ENSG00000169876",0,6,1,16,0,1
"ENSG00000169877",3,247,184,463.001,225,39
"ENSG00000169884",0,19,2,19,5,16
"ENSG00000169885",0,1,0,2,1,0
"ENSG00000169891",125.66,162.427,235.613,202.715,160.867,374.962
"ENSG00000169894",0,0,1,0,3,5
"ENSG00000169895",1192.965,1978.183,1098.984,2080.443,1330.931,969.479
"ENSG00000169896",211.997,4427.077,4348.485,4491.024,3358.51,1463.063
"ENSG00000169900",0,0,0,0,0,0
"ENSG00000169902",12,258,158,354,97,117
"ENSG00000169903",6,1,2,3,1,12
"ENSG00000169905",6089.332,1158.757,3050.625,928.39,3853.058,926.249
"ENSG00000169906",0,0,0,0,0,0
"ENSG00000169908",22,86.001,36,141,208,964.001
"ENSG00000169914",400.463,211.364,254.492,279.548,315.115,139.918
"ENSG00000169918",0,40.006,3.019,35,3.183,16
"ENSG00000169919",475.235,874.435,840.28,1153.608,864.094,904.663
"ENSG00000169925",1069,343.999,864,461.999,1092.347,237
"ENSG00000169926",254,3492.245,1157.737,3680.042,1360.154,1107.688
"ENSG00000169933",0,0,0,1,0,0
"ENSG00000169946",0,4.997,2.088,2.203,5.684,8
"ENSG00000169951",57.284,77.772,96.213,99.815,123.335,46.998
"ENSG00000169953",0,0,0,0,0,0
"ENSG00000169955",164.001,62.757,147.39,92.154,175.903,68.71
"ENSG00000169957",579,68,436,119,552,154
"ENSG00000169962",1,11,10,6,28,2
"ENSG00000169964",20,62.293,78.497,51.443,85.951,50
"ENSG00000169967",1718,3762,2721,4895,2575,1523
"ENSG00000169972",105,63,124.999,84,202,77
"ENSG00000169976",345,353,516,435,557,294
"ENSG00000169981",12,25,42,17,20,19
"ENSG00000169989",2,0,5,2,3,1
"ENSG00000169991",96,610.002,155.976,803.002,325.988,469.532
"ENSG00000169992",1,44,1,47,15,80
"ENSG00000169994",41,80,166,71,129.001,418
"ENSG00000170004",1037.001,3570.998,1508.001,3396.999,1864,1504.999
"ENSG00000170006",54.393,1072.766,1381.447,629.569,812.087,241.613
"ENSG00000170011",0,2,1,4,0,23
"ENSG00000170017",50,622,688.999,2093.999,404,542
"ENSG00000170027",9061,1282,5068,2032,5604,1541
"ENSG00000170035",1848.001,389,1621,418,1599.999,220
"ENSG00000170037",288.001,324,263.999,393,464,186.001
"ENSG00000170043",1729.001,392,1325,495.001,1597.001,540
"ENSG00000170044",1,3,3,0,1,4
"ENSG00000170049",1,49.32,27.19,29.106,21.372,18.002
"ENSG00000170054",0,2,0,0,0,0
"ENSG00000170074",0,24.774,5.921,36.999,5.568,2.862
"ENSG00000170075",4.062,0,3,2.266,4.529,0
"ENSG00000170085",12.66,90.499,96.69,125.561,89.149,32.034
"ENSG00000170088",229.037,248.868,366.198,318.164,326.257,139.768
"ENSG00000170089",0,0,0,0,0,0
"ENSG00000170091",1,2,1,0,1,0
"ENSG00000170092",0,0,0,0,0,0
"ENSG00000170099",11,0,3,0,3,1
"ENSG00000170100",148.208,99.969,93.779,141.127,178.853,63.321
"ENSG00000170113",308,182.007,219.006,230.473,289.83,135.001
"ENSG00000170122",0,0,4.782,0,0,0
"ENSG00000170128",0,5,10,11,3,4
"ENSG00000170142",951.001,647.999,1084,660,1047,385
"ENSG00000170144",5263.689,5093.613,6552.527,5501.859,7158.261,2716.894
"ENSG00000170145",323.191,575.531,350.932,929.703,556.378,570.211
"ENSG00000170153",0,12,24,20,26,20
"ENSG00000170160",12.833,14.875,38.698,45.212,49.477,49.65
"ENSG00000170161",25.921,6.016,15.509,15.479,37.303,31.658
"ENSG00000170162",0,0,0,0,1,1
"ENSG00000170166",0,0,0,1,3,15
"ENSG00000170175",93.806,103.482,113.526,84.97,131.564,117.055
"ENSG00000170178",0,0,0,0,0,0
"ENSG00000170180",6.039,103.003,90.968,301.998,36.306,12.863
"ENSG00000170185",898.056,728.615,900.777,734.682,1107.625,418.078
"ENSG00000170190",341,105,299,125,309,139.001
"ENSG00000170191",100,61.977,73.547,77.006,95.718,29
"ENSG00000170209",4.101,2.12,6.105,5.039,2.029,0
"ENSG00000170214",1,0,0,1,2,4
"ENSG00000170222",87,96,79,62,111,28
"ENSG00000170231",0,2,0,0,0,0
"ENSG00000170234",121,223,361,272,348,132
"ENSG00000170236",1.023,7.162,0,0,2,0
"ENSG00000170242",1780.001,1418,1663,1514,2094.997,757.001
"ENSG00000170248",2381.739,1767.335,3234.672,2670.743,3533.611,1587.986
"ENSG00000170255",0,0,0,0,0,0
"ENSG00000170260",347.495,99.584,229.993,138.998,265.567,97.003
"ENSG00000170262",0,0,0,0,0,0
"ENSG00000170264",53.106,28.695,22.329,34.246,27.28,30.419
"ENSG00000170265",396.854,225.99,473.167,414.041,622.432,251.669
"ENSG00000170266",61,556,973.001,1246.001,856.999,871
"ENSG00000170270",124,33,154,46,110,36
"ENSG00000170271",7.998,78.345,67.542,142.213,111,57.012
"ENSG00000170275",124.195,971.489,1846.021,1854.436,1656.265,1070.751
"ENSG00000170276",0,1,1,0,0,0
"ENSG00000170279",0,2,0,0,0,0
"ENSG00000170289",0,0,0,0,0,0
"ENSG00000170290",4,0,1,0,0,0
"ENSG00000170291",445.999,143.999,323,243,467,137
"ENSG00000170293",40,27,31,16,40,53
"ENSG00000170296",7372.429,1506.636,4069.817,1476.683,5858.015,1143.854
"ENSG00000170298",0,9.946,3.913,25.779,8.753,14.893
"ENSG00000170310",505.522,151.502,378.345,201.618,407.377,124.808
"ENSG00000170312",4,106,28,158,59.001,148.999
"ENSG00000170315",12420.119,5343.565,8589.612,6223.235,10727.237,3511.712
"ENSG00000170322",465,346,382,373.999,568.036,265
"ENSG00000170323",0,10,6,77,3,3
"ENSG00000170324",0,3.001,1,0,1,6
"ENSG00000170325",289,206,315,280,360,98
"ENSG00000170340",111,1348,495,1502,557,395
"ENSG00000170345",1970.001,13577,66493.998,15317.999,39039,21064
"ENSG00000170348",5825.752,1637.775,2775.382,2090.683,3596.018,1774.691
"ENSG00000170356",0,0,7.324,0,0,0
"ENSG00000170364",65.887,44.76,56.463,67.066,87.448,63.952
"ENSG00000170365",63,66.441,125.858,69.094,146.464,113.149
"ENSG00000170367",0,0,0,0,0,0
"ENSG00000170369",1,0,0,0,0,0
"ENSG00000170370",171.802,133.144,194.029,103.397,224.36,114.48
"ENSG00000170373",0,0,0,0,0,4
"ENSG00000170374",0,3,0,4,0,0
"ENSG00000170379",255.543,279.576,352.197,442.475,816.242,283.993
"ENSG00000170381",84.011,72.547,138.633,80.063,115.454,71.535
"ENSG00000170382",0,13.057,3.787,11.031,3.791,1.03
"ENSG00000170385",109,218,690,245,596,125
"ENSG00000170390",20,9,18,6,16,12
"ENSG00000170396",1,11,34,30,21,5
"ENSG00000170409",0,0,0,0,0,0
"ENSG00000170412",1,15.378,14,14.999,16,57.143
"ENSG00000170417",82.452,102.008,122.959,72.981,112.571,31.189
"ENSG00000170419",0,0,0,0,0,0
"ENSG00000170421",16146.793,743.558,13964.795,1578.853,21827.236,15658.65
"ENSG00000170423",14,0,1,0,1,3
"ENSG00000170425",4,46,22,109,45,96
"ENSG00000170426",0,0,0,0,3,0
"ENSG00000170430",40,88,37,65,112,62
"ENSG00000170439",2,87,35,40,42,31
"ENSG00000170442",427.157,353.218,416.484,206.192,243.106,166.766
"ENSG00000170445",618.95,448.927,703.712,596.144,637.252,362.807
"ENSG00000170448",226,81,225,68,268,115
"ENSG00000170454",0,0,0,0,0,0
"ENSG00000170456",150.741,65.899,288.028,163.833,343.533,92.46
"ENSG00000170458",474,3233,9764.001,5146,10065,2459.001
"ENSG00000170464",71.915,86.929,60.006,76.814,55.257,64.921
"ENSG00000170465",0,0,0,0,0,0
"ENSG00000170468",48,126,109,193,95,80
"ENSG00000170469",5,4,10,12,11,4
"ENSG00000170471",1094.999,708.317,1091,1058.001,1279,596.001
"ENSG00000170473",1232.001,94,600,104,702,158.001
"ENSG00000170476",26.001,102.095,221.35,179.543,122.61,14.815
"ENSG00000170477",9,1,0,4,0,3
"ENSG00000170482",0,4,1,1,3,0
"ENSG00000170484",0,0,0,1,0,0
"ENSG00000170485",1662.003,101.441,783.662,67.265,1281.03,82.734
"ENSG00000170486",0,79.002,1,94,2,14
"ENSG00000170498",49076,1118,5016,302,12768,1048
"ENSG00000170500",16.759,11.855,18.038,15.922,39.142,8.003
"ENSG00000170502",271,133.329,338.99,159.653,348.997,136.247
"ENSG00000170509",1.646,18.361,12.666,16.096,15.287,10.047
"ENSG00000170515",2972,825.194,2016.422,1082.918,2419.779,909
"ENSG00000170516",8,0,10,3,6,3
"ENSG00000170522",13.444,66.072,19.367,74.34,25.163,52.965
"ENSG00000170523",0,0,1.574,0,0,0
"ENSG00000170525",153.001,16051.003,2029,20276.001,3914.999,5047.001
"ENSG00000170537",0.893,40.428,9.251,28.49,10.561,37.761
"ENSG00000170540",4459.698,1909.235,2285.528,2989.205,3027.117,1254.385
"ENSG00000170542",2473.407,13337.236,2697.439,20542.249,2071.88,6213.605
"ENSG00000170545",234.057,72.4,242.414,87.012,227.519,562.744
"ENSG00000170549",0,0,0,1,0,0
"ENSG00000170558",1,36.653,3,19.999,18,379
"ENSG00000170561",71,5.701,10,11,36.822,252.736
"ENSG00000170571",67.018,2073.448,1508.578,1876.471,1498.699,601.051
"ENSG00000170577",0,1,0,0,0,0
"ENSG00000170579",2,2,7,4,70.985,11
"ENSG00000170581",345.065,1200.115,2784.736,1803.553,2342.667,1034.644
"ENSG00000170584",279.243,117.154,266.227,120.872,301.597,74.382
"ENSG00000170604",696,189,453,208,546,126
"ENSG00000170605",0,0,0,0,0,0
"ENSG00000170606",1621.016,1262.327,2013.024,1477.898,2242.747,1109.659
"ENSG00000170608",0,0,1,0,0,0
"ENSG00000170613",0,0,0,0,0,0
"ENSG00000170615",0,0,0,2,0,0
"ENSG00000170619",364.001,208.001,362,240,294,125
"ENSG00000170624",0,0,0,2,4,5
"ENSG00000170627",435,18,189,18.019,172,53.001
"ENSG00000170629",0,0,0,0,0,0
"ENSG00000170631",171.659,44.252,60.628,41.979,83.534,35.05
"ENSG00000170632",694.716,230.412,634.803,309.815,789.794,158.883
"ENSG00000170633",450.001,182.001,417,270.999,357,143.999
"ENSG00000170634",197.775,45.379,143.386,65.115,158.103,54.341
"ENSG00000170638",428,1259,970.999,1297,940,646
"ENSG00000170653",1117,349.001,904,475.336,1096.066,316.54
"ENSG00000170667",1.471,230.078,572.167,496.483,363.908,114.166
"ENSG00000170677",1068,125,1045.001,230,978,195
"ENSG00000170681",24.94,1.97,17.369,4.774,12.85,10.98
"ENSG00000170683",0,8.904,0,2.919,7.879,0
"ENSG00000170684",0,48,48,68,34,13
"ENSG00000170688",0,0,0,0,0,0
"ENSG00000170689",0,4,1,10,1,14
"ENSG00000170703",0,0,2.001,1,0,0
"ENSG00000170734",64.686,159.712,288.26,299.692,226.545,133.246
"ENSG00000170743",0,0,2,0,0,0
"ENSG00000170745",39,0,8,4,14,14
"ENSG00000170748",3,0,1,0,0,0
"ENSG00000170759",5826,1998,6495,2706,7758,1273
"ENSG00000170775",1,0,6,4,15,50
"ENSG00000170776",1340.176,5210.712,3225.683,10884.363,4154.368,2989.668
"ENSG00000170777",0,0,0,0,0,0
"ENSG00000170779",146,298,114,464,144,382
"ENSG00000170782",0,0,0,0,0,0
"ENSG00000170786",2,0,2,1,2,8
"ENSG00000170788",0,0.752,0,7.932,1.963,1
"ENSG00000170790",1.009,1.735,0,0,0,1.022
"ENSG00000170791",124.167,285.933,253.036,283.795,368.001,121.138
"ENSG00000170801",0,20,3,8,13,58
"ENSG00000170802",1135,487,1066,372,1369,262
"ENSG00000170807",0,0,0,0,3,0
"ENSG00000170819",0,0,0,0,0,3
"ENSG00000170820",0,0,0,0,0,0
"ENSG00000170827",0,3.544,4.689,0,1.6,0
"ENSG00000170832",660.419,1426.339,1411.526,1424.012,1259.312,822.022
"ENSG00000170835",10.604,1.456,3.311,1,6.4,7
"ENSG00000170836",1105.741,387.668,846.073,423.006,1118.522,242.722
"ENSG00000170837",23,96,152,30,129,22
"ENSG00000170846",184.474,146.571,178.68,166.601,192.138,75.275
"ENSG00000170848",15439.132,414.764,4020.399,408.685,7725.884,523.079
"ENSG00000170852",1461.703,1335.109,1396.197,1263.564,1620.116,504.21
"ENSG00000170854",2108.001,150,1004,164.001,1399,233
"ENSG00000170855",419,130,323,120,368,181
"ENSG00000170858",1.078,19.359,50.41,63.341,34.03,11.365
"ENSG00000170860",2071.89,201.978,1078.753,192.395,1559.887,219.169
"ENSG00000170871",3293,759,1502,674,2682,413
"ENSG00000170873",295,1369.686,1293.265,1641.057,942.626,270.293
"ENSG00000170876",823,722.08,1027.733,1159.462,1291.827,990.939
"ENSG00000170881",769,960,639,732,958,374
"ENSG00000170889",7423.274,6114.511,7158.18,6090.935,8242.521,3330.678
"ENSG00000170890",0,0,0,0,0,0
"ENSG00000170891",0,22,8,21,23,13
"ENSG00000170892",739.001,209.376,827,229.982,847,228
"ENSG00000170893",0,63,6,63,2,8
"ENSG00000170899",1287,31.999,541.299,27.199,870,141
"ENSG00000170903",29,65,162,70,105,55
"ENSG00000170906",547.086,171.393,462.49,213.305,523.988,156.444
"ENSG00000170909",36.007,558.387,670.986,549.974,760.998,254
"ENSG00000170915",11,73.023,147,115.016,150,75
"ENSG00000170917",7.485,15.003,12.035,17.094,4.61,12.265
"ENSG00000170919",88.481,442.562,242.783,237.209,194.075,192.522
"ENSG00000170920",0,0,0,0,0,0
"ENSG00000170921",471,420.247,475,1008.001,611.04,567
"ENSG00000170923",1.259,10.663,2.352,12.886,3.749,8.057
"ENSG00000170925",0,0,0,0,0,0
"ENSG00000170927",16,2,10,0,37,17
"ENSG00000170929",0,7.591,7.398,2.969,5.698,1.026
"ENSG00000170935",0,0,0,0,0,0
"ENSG00000170946",218.214,87.767,220.779,96.832,195.864,41.589
"ENSG00000170948",0,0,0,0,0,0
"ENSG00000170949",334.798,223.703,443.268,355.016,482.332,172.593
"ENSG00000170950",0,0,0,1,0,0
"ENSG00000170953",0,0,0,0,0,0
"ENSG00000170954",205.89,12.683,80.784,6.011,134.732,23.007
"ENSG00000170955",6,11,8,10,16,71
"ENSG00000170956",4.005,230.018,132.396,81.549,100.281,26.956
"ENSG00000170959",0,8.858,2.974,13.154,1,10.476
"ENSG00000170961",0,3,1,1.001,2.01,2
"ENSG00000170962",23,144,26,106,84,121
"ENSG00000170965",1335,51,286,21,1132,71
"ENSG00000170967",0,0,0,0,13,0
"ENSG00000170983",0,0,0,0,0,0
"ENSG00000170989",16.844,1894.001,123,1646.999,155,564
"ENSG00000171004",4,37,4,9,12,69
