"GENENAME","log2FoldChange","padj","baseMean","lfcSE","stat","pvalue","GENEID"
"TSPAN6",0.401009366730263,0.99998618434358,69.6375026857003,1.3544271289587,0.29607304679327,0.767174297229674,"ENSG00000000003"
"TNMD",NA,NA,0,NA,NA,NA,"ENSG00000000005"
"DPM1",-0.159244410592558,0.99998618434358,661.508402918113,1.14303131780834,-0.13931762683274,0.889199161515299,"ENSG00000000419"
"SCYL3",-0.600453853064558,0.99998618434358,394.073775998605,1.17374414552413,-0.511571329539137,0.60895105527538,"ENSG00000000457"
"C1orf112",0.0490290143070128,0.99998618434358,79.4132509985407,1.33086960333636,0.0368398332820147,0.970612713225608,"ENSG00000000460"
"FGR",0.276669923497686,0.99998618434358,4207.97778313281,1.46218992252516,0.189216133441739,0.849923423407387,"ENSG00000000938"
"CFH",1.72173022825418,0.99998618434358,15.8175637668177,1.9381814283923,0.888322529063927,0.374367284432296,"ENSG00000000971"
"FUCA2",-0.949440518104671,0.99998618434358,896.641642191826,1.14036208926117,-0.832578114482747,0.405082706231591,"ENSG00000001036"
"GCLC",0.15540442925879,0.99998618434358,690.569976795793,1.18114603293005,0.131570885331834,0.895323715426361,"ENSG00000001084"
"NFYA",0.090104709724186,0.99998618434358,749.005441298179,1.1379956696269,0.0791784293465087,0.93689070160573,"ENSG00000001167"
"STPG1",-0.300484108204252,0.99998618434358,72.9979912122281,1.41242795993654,-0.212742962280181,0.831527454684325,"ENSG00000001460"
"NIPAL3",-0.0754335099069662,0.99998618434358,259.62794645139,1.24608465328524,-0.0605364247991416,0.951728406238489,"ENSG00000001461"
"LAS1L",0.0600877440616641,0.99998618434358,368.395216314379,1.16377883388634,0.0516315835209049,0.958822252884334,"ENSG00000001497"
"ENPP4",0.885809555680371,0.99998618434358,78.4569535499015,1.45802881001758,0.607539130636032,0.543493182185421,"ENSG00000001561"
"SEMA3F",-0.8304679179584,0.99998618434358,336.969379716398,1.36881297678444,-0.606706637096108,0.544045616751001,"ENSG00000001617"
"CFTR",0.758252839740329,0.99998618434358,11.4110154583949,2.1954946648606,0.345367653074426,0.7298179919101,"ENSG00000001626"
"ANKIB1",-0.013962027745351,0.99998618434358,821.627569819859,1.14433730345567,-0.0122009723035232,0.990265274097428,"ENSG00000001629"
"CYP51A1",-0.52283134888854,0.99998618434358,251.005667374489,1.21774757703776,-0.429342959696423,0.667673657668514,"ENSG00000001630"
"KRIT1",-0.454981738429486,0.99998618434358,541.979379474596,1.14422964974836,-0.397631488162841,0.690901846157171,"ENSG00000001631"
"RAD52",0.382008470465763,0.99998618434358,89.0960136648129,1.36905388102475,0.27903099780107,0.780221036316437,"ENSG00000002016"
"MYH16",2.07638370471775,NA,0.281439794793435,5.94815312189011,0.349080405660093,0.727028946424837,"ENSG00000002079"
"BAD",-0.235276841943074,0.99998618434358,1971.98234461514,1.15928974292463,-0.202949127583518,0.839174794946996,"ENSG00000002330"
"LAP3",0.721917495746953,0.99998618434358,1085.16959778435,1.39328703772732,0.518139820581781,0.604360718803379,"ENSG00000002549"
"CD99",-1.04770006487208,0.99998618434358,1688.57352206925,1.14051510396825,-0.918620070200532,0.358294330439576,"ENSG00000002586"
"HS3ST1",1.00697063781302,0.99998618434358,35.6293277587673,1.60657442404514,0.626781195282325,0.530802671649389,"ENSG00000002587"
"AOC1",0.454396958794677,0.99998618434358,739.106657683758,1.14803180840226,0.395805199358607,0.69224874088325,"ENSG00000002726"
