"","WT_1.gProcessedSignal","WT_2.gProcessedSignal","RNA5_TLR4_1.gProcessedSignal","RNA5_TLR4_2.gProcessedSignal"
"ATP5MG",16.2421783757475,16.2734422133058,16.0912950984954,16.0596488589414
"ATP5MC3",16.2706116852466,16.3736775583194,16.0596488589414,15.9435667790968
"RPL23P8",16.1887025734647,16.1151842969288,16.0864669480028,16.1830267913259
"PHBP19",15.8765651987716,16.0029412552758,16.2421783757475,16.3969504491325
"GAPDH",16.3129041812838,16.2421783757475,15.9619172440662,15.9111834965323
"SLC25A6",16.1044242640192,15.9619172440662,16.1151842969288,16.2421783757475
"ADAMTS7",16.1830267913259,16.0662728652806,15.9626530494822,16.1368044924448
"MZT2B",16.0969225629762,15.9111834965323,16.1900695776144,16.1044242640192
"RPL28",16.046167335964,16.0136834765174,16.0819068821866,16.0662728652806
"RPL18",16.0596488589414,16.0880133316297,15.9892959619718,15.9892959619718
"H3F3A",16.0029412552758,16.1292628285729,16.0262812369326,15.9475906514463
"GSTP1",16.0864669480028,16.0102002034668,16.0348368943862,15.8891767235638
"ACTG1",15.9435667790968,16.0348368943862,16.0525065100301,15.9619172440662
"LDHA",15.9983669189804,15.9952538031482,16.0292418059558,15.8419400173869
"PGAM4",16.1484973123297,16.0912950984954,15.7630782633553,15.7703704546813
"HSPD1",15.9129338005046,16.2984115542715,15.7905494885636,15.7630782633553
"RPS27A",15.7993385803298,15.9129338005046,15.974038082672,16.0262812369326
"RPS15A",15.8227918350231,15.8344615418761,16.0711601497314,15.9840986813991
"RPL29",15.86563306592,15.9157673596639,15.9522439430025,15.9593589997916
"XLOC_l2_002176",15.9157673596639,15.918352516858,15.9648704542866,15.8865466967591
"CYTB",15.7630782633553,15.5310346090055,16.2647005620764,16.0864669480028
"RPL36AL",15.9619172440662,15.8765651987716,15.8943412935732,15.906533967095
"NPIPB11",15.5123690791294,15.7645983935172,16.1563013991141,16.1900695776144
"G0S2",16.2109343795022,16.6938221707474,15.3422161721226,15.3319286959771
"ATP6",15.7955533674175,15.7568361490216,16.046167335964,15.9795813350302
"FAU",15.918352516858,15.9648704542866,15.8344615418761,15.8578909440432
"COX1",15.2530720490006,15.5123690791294,16.5527249518242,16.2346678646689
"RPS9",15.7905494885636,15.8118714676537,15.9840986813991,15.9626530494822
"CD151",16.0262812369326,15.9983669189804,15.7568361490216,15.7616703630062
"lnc-SERHL2-3",16.1292628285729,15.88314195681,15.7183878422729,15.7930620726307
"ATP6V0C",16.044111435902,16.1484973123297,15.6962873893865,15.6142343127451
"SNHG5",15.8419400173869,15.7401969887664,15.906533967095,16.0102002034668
"lnc-MINA-3",15.7090870396778,15.6892009691588,15.9593589997916,16.1130483620477
"TUBB6",16.0819068821866,16.276954703779,15.5978532787778,15.5060741886383
"FBL",15.9475906514463,16.032032295582,15.7054454818277,15.7645983935172
"AP2M1",16.018334945777,15.9795813350302,15.6909604274583,15.7568361490216
"RPL18A",15.7616703630062,15.8943412935732,15.9270834094882,15.8612899005654
"GAS5",15.5943551882541,15.4822362063465,16.1172069211667,16.2493842974519
"SLC2A11",15.5346964781365,15.6832881344716,16.1302409742087,16.0880133316297
"UQCRH",15.7703704546813,15.974038082672,15.8441904026705,15.8344615418761
"MT1A",16.2734422133058,16.4006658808746,15.2958779052653,15.451828016654
"LAMA5",15.3684932947266,15.6282953012699,16.176832769245,16.2086437932061
"NACA",15.8943412935732,15.8891767235638,15.7485857487632,15.7401969887664
"EEF1G",15.6760234593989,15.6093021540548,15.9795813350302,15.9157673596639
"EIF3H",15.7794624202453,15.8441904026705,15.7473893907289,15.7473893907289
"SNAR-H",15.9840986813991,16.2921386208987,15.2651625120547,15.5672626630724
"NDUFB9",15.8865466967591,15.9626530494822,15.6733588175926,15.5812305623717
"UCHL1",15.9270834094882,15.900356430404,15.6832881344716,15.5680960292615
"NNMT",16.0525065100301,15.631794388549,15.7138790093774,15.6733588175926
"MAP4",15.9626530494822,15.7993385803298,15.6142343127451,15.6476368443706
"HSPE1",15.7473893907289,16.046167335964,15.6216886463083,15.5978532787778
"PSMB1",15.9795813350302,15.906533967095,15.5548129876614,15.5625348427695
"LOC400499",15.5625348427695,15.558661721143,15.8389243387563,16.0136834765174
"lnc-BEGAIN-1",15.7975884730124,15.7703704546813,15.6376904937119,15.7183878422729
"SLC20A1",15.9648704542866,16.5226897934829,15.2682409343099,15.1101310000762
"HNRNPA1",15.6476368443706,15.6216886463083,15.8118714676537,15.751645636476
"PKM",15.7485857487632,15.5812305623717,15.7993385803298,15.6909604274583
"lnc-TPSAB1-1",15.7835281995889,15.6033062745884,15.7007597855665,15.7007597855665
"MT1L",16.169246439998,16.1653801703598,15.0687436435805,15.329037404521
"RNF170",15.451828016654,15.4135339646115,15.9111834965323,15.9522439430025
"JPT1",15.7401969887664,15.933413062192,15.5406637660973,15.5012774460252
"LCE1D",15.8934661140915,15.5139812053786,15.5185411956683,15.7054454818277
"PIEZO1",15.751645636476,15.6733588175926,15.5812305623717,15.6216886463083
"LAMB3",15.2892577007483,16.1830267913259,15.6282953012699,15.5123690791294
"PDZD7",15.0978663381497,15.3970404907095,16.044111435902,16.0348368943862
"SOD1",15.7138790093774,15.8703110812801,15.4975518823678,15.4492560918728
"UBA52",15.631794388549,15.5468179995446,15.6646262563865,15.6547803618478
"H3.Y",15.5185411956683,15.7616703630062,15.5625348427695,15.5943551882541
"lnc-USP35-1",15.4975518823678,15.5012774460252,15.6892009691588,15.6892009691588
"ND4L",15.1745276699917,15.1488601633578,15.8804880344329,16.1653801703598
"COX7C",15.5672626630724,15.5247751114569,15.631794388549,15.6417113174256
"SRP14",15.6892009691588,15.6661380042957,15.5123690791294,15.4739026681387
"SNHG29",15.300832329064,15.2610093134514,15.8612899005654,15.9129338005046
"COX6A1",15.6962873893865,15.6547803618478,15.451828016654,15.5247751114569
"MT1B",15.9405829949189,16.0292418059558,15.0614031254976,15.2549524000072
"SNAR-G2",15.7183878422729,16.1581078500232,15.0555864130888,15.3422161721226
"CCT4",15.5853158672728,15.8804880344329,15.4356152447378,15.3542157509891
"ATP5MC2",15.5393211324079,15.6646262563865,15.5012774460252,15.5185411956683
"EIF3C",15.6017673562632,15.7300643980869,15.4135339646115,15.4603461821096
"XLOC_l2_000123",15.6216886463083,15.7794624202453,15.3993826314925,15.3938154562592
"TMSB10",15.5247751114569,15.5486753368224,15.558661721143,15.5406637660973
"NCL",15.5486753368224,15.7473893907289,15.4100015811163,15.4426486535402
"PSMB4",15.7568361490216,15.5548129876614,15.4079994288603,15.4219103211294
"S100A6",15.8473751545219,15.5406637660973,15.3938154562592,15.2235508426215
"UQCRQ",15.6142343127451,15.4426486535402,15.4305106784208,15.4822362063465
"GPX1",15.6675026572559,15.5782274852371,15.3970404907095,15.3238448762486
"CAPN2",15.6547803618478,15.7007597855665,15.300832329064,15.2374071428896
"NACA2",15.4426486535402,15.5943551882541,15.4406928150299,15.4079994288603
"ENO1",15.5812305623717,15.4581858521276,15.45586767068,15.3903396122929
"NME1",15.4219103211294,15.4492560918728,15.5139812053786,15.4725490048568
"TSPO",15.4692481304451,15.5672626630724,15.4219103211294,15.3807427462177
"S100A2",15.5012774460252,15.2779516236777,15.4653794291917,15.558661721143
"RPL19P12",15.4305106784208,15.451828016654,15.4692481304451,15.4305106784208
"HIST1H4L",15.4787521685141,15.4079994288603,15.4426486535402,15.4356152447378
"RPL21P44",15.3422161721226,15.3036747925083,15.5060741886383,15.6033062745884
"ATP1B3",15.204128994107,15.4995245245801,15.5716230027881,15.45586767068
"ATP5MD",15.5468179995446,15.5725121458313,15.2892577007483,15.2417642012567
"CCN1",15.3319286959771,15.4050987365473,15.4787521685141,15.3993826314925
"EIF3E",15.2610093134514,15.4653794291917,15.4250694581059,15.4406928150299
"EEF1B2",15.3484851961324,15.2475610886888,15.4618602761162,15.4692481304451
"RPL23AP7",15.4079994288603,15.3938154562592,15.3903396122929,15.2958779052653
"TMSB4X",15.329037404521,15.3238448762486,15.4725490048568,15.3407352969774
"SP100",15.4135339646115,15.329037404521,15.3319286959771,15.3114146628579
"XLOC_l2_008285",15.3938154562592,15.3684932947266,15.3238448762486,15.2651625120547
"RPS10P7",15.4995245245801,15.1716967491631,15.3036747925083,15.3684932947266
"SHISA5",15.3970404907095,15.2530720490006,15.3568579019438,15.3146419349021
"EDARADD",15.3864673843975,15.2270446278922,15.3343611761865,15.3343611761865
"RPL36",15.1848097301227,15.2394818803057,15.3684932947266,15.4581858521276
"SUZ12P1",14.9522653162193,15.0510113046671,15.5310346090055,15.5908505315321
"HSPB1",15.3501707719417,15.1640009027254,15.329037404521,15.2779516236777
"TKT",15.4725490048568,15.3484851961324,15.1955250087993,15.0864345427248
"RPS7P5",15.2178230528224,15.1745276699917,15.3507874633728,15.3568579019438
"C1QBP",15.2682409343099,15.4356152447378,15.204128994107,15.1427224225335
"RBM8A",15.4356152447378,15.4603461821096,15.048168576322,15.0392908355357
"LOC100506679",14.9475891630764,15.0555864130888,15.4739026681387,15.4975518823678
"SLC16A3",15.6282953012699,15.0277814208331,15.1488601633578,15.1309540758502
"SNRPG",15.3086301683497,15.3086301683497,15.1558168025435,15.1407053312716
"COX8A",15.3114146628579,15.2573260949324,15.1528227293848,15.1745276699917
"SET",15.2573260949324,15.2549524000072,15.1101310000762,15.2682409343099
"TPM3",15.4581858521276,15.6675026572559,14.8360985284488,14.9243083135091
"MT1HL1",15.7054454818277,15.7835281995889,14.5878064384332,14.8074947197722
"NEDD8",15.3238448762486,15.1971938778652,15.1569106732571,15.1916223911015
"CCT3",15.0353225221777,15.2850380636652,15.2779516236777,15.2588196877066
"FRY",15.1488601633578,15.1916223911015,15.2394818803057,15.2573260949324
"RTN4",15.207800268424,15.4305106784208,15.1229369930254,15.0257742540696
"TPI1",15.2958779052653,15.1273221646774,15.187505971667,15.1716967491631
"VCP",15.3649638690412,15.3649638690412,15.0950266621285,14.9409065503163
"P4HB",15.2549524000072,15.1528227293848,15.1589338796359,15.1488601633578
"LY6K",15.0017122035602,15.5060741886383,15.1040624755415,15.0434334953397
"EEF1D",15.0572530328211,15.0614031254976,15.2374071428896,15.2394818803057
"SLC25A5",15.1569106732571,15.2958779052653,15.0826045793308,15.0462975513431
"NAA38",15.187505971667,15.1613056995914,15.1148951158092,15.0950266621285
"LINC01356",15.2475610886888,15.0903206519102,15.0711528506754,15.0711528506754
"GPAA1",15.1971938778652,15.1346721397452,15.0651781403872,15.0746977421162
"TALDO1",15.1589338796359,15.3319286959771,15.0039749669356,14.8971135842393
"HLA-A",14.9748481926956,14.8169739741719,15.2748771418192,15.3036747925083
"ANAPC11",15.2003334927459,15.1770861971804,15.0277814208331,14.9616060754164
"KRT81",14.8330522803476,14.2235279954973,15.6675026572559,15.6376904937119
"ANTXRL",14.9002456037786,14.9906620342233,15.2178230528224,15.2270446278922
"U2AF1",15.1309540758502,15.204128994107,15.0257742540696,14.9712960320887
"EIF4H",15.0711528506754,15.1569106732571,14.997694675904,15.0790199821937
"SNHG6",14.9450323203677,14.9450323203677,15.1916223911015,15.1569106732571
"KPNA2",15.2330994215809,15.299235190536,14.9002456037786,14.8037604604311
"RPL10L",15.3744029187615,15.3407352969774,14.7162947946264,14.7814333440562
"RANGAP1",15.1558168025435,15.2651625120547,14.8169739741719,14.9693728606528
"STMN1",15.1233880949182,14.9587057572947,15.0462975513431,15.0651781403872
"COX6C",15.0687436435805,15.0353225221777,15.0151613693881,15.0614031254976
"TEX41",14.9146097224751,15.0462975513431,15.0017122035602,15.207800268424
"DYNLL1",15.0462975513431,15.1372277481183,15.0510113046671,14.9307417439675
"FAM129B",15.2651625120547,15.0315465778075,14.9475891630764,14.9161101316176
"MYO1C",14.6250589846344,14.8714404091269,15.2911403134588,15.2850380636652
"MAML1",15.1199424105127,14.9243083135091,14.9952023395871,14.9999533640572
"TYMP",15.1955250087993,14.9002456037786,14.8798253458032,15.0415855228927
"ELOC",15.1640009027254,15.2588196877066,14.849753920835,14.74199088059
"FOXI2",14.9765401124019,15.0185112084978,14.8954803562458,15.1088561822079
"H2AFZ",15.1716967491631,15.3568579019438,14.7872121771243,14.6815144347142
"CCT2",15.0537167746529,15.2374071428896,14.9016813499201,14.7769379517665
"ATP5PO",15.1372277481183,14.9748481926956,14.9551407883234,14.8919227320441
"PSME2",15.1346721397452,15.033398007344,14.8451831143415,14.9002456037786
"HIST3H3",15.0392908355357,15.0415855228927,14.9363989602013,14.8798253458032
"TM4SF1",15.3771037917747,15.2417642012567,14.6381057174783,14.6223506547381
"ALPK1",14.6268561629572,14.6815144347142,15.2573260949324,15.300832329064
"CTNNAL1",15.0651781403872,14.849753920835,15.0415855228927,14.8954803562458
"LMNA",15.213203005741,15.1199424105127,14.754294112217,14.754294112217
"COX7A2",15.1181588917895,15.0039749669356,14.8714404091269,14.8368255882073
"C20orf27",15.0257742540696,15.0392908355357,14.9281581336597,14.8330522803476
"NHP2",14.9307417439675,15.048168576322,14.9243083135091,14.9205455899138
"TBCA",15.0151613693881,15.0978663381497,14.8666000096618,14.8215829494042
"PTMS",15.0277814208331,14.8430322159191,14.9307417439675,14.9952023395871
"RPL32P3",14.8451831143415,14.9016813499201,14.9712960320887,15.0687436435805
"KHSRP",15.0510113046671,14.9616060754164,14.8488521820275,14.9106313567616
"RACK1",14.9243083135091,15.0017122035602,14.9429057521524,14.9016813499201
"HNRNPA3",14.9551407883234,15.0746977421162,14.8563347801796,14.8714404091269
"PPP1R14B",14.9616060754164,14.9522653162193,14.8822358120993,14.9450323203677
"S100A13",15.1088561822079,15.187505971667,14.7371085477806,14.7028016149203
"HSP90B1",15.0826045793308,15.0651781403872,14.8330522803476,14.7499632193276
"FTL",15.1040624755415,15.0572530328211,14.7885630716564,14.7789978438699
"TPM2",14.7186200328149,14.7741507670036,15.1427224225335,15.0572530328211
"TK1",15.0864345427248,14.9643376323151,14.7714973618495,14.8589932351167
"PSMB7",15.0790199821937,15.1088561822079,14.7861962971403,14.6975595267738
"CCDC9",14.7769379517665,14.993897859433,14.8589932351167,15.033398007344
"KPNB1",15.0039749669356,15.1148951158092,14.74199088059,14.7644810435497
"SSRP1",14.9161101316176,14.9857047525062,14.8738974372652,14.84124027976
"HNRNPD",14.9643376323151,15.1309540758502,14.7769379517665,14.734391250477
"YTHDF3",14.8463990042932,14.8463990042932,14.8521076820196,15.0315465778075
"SLIRP",14.9016813499201,15.0257742540696,14.7741507670036,14.8451831143415
"JPH3",14.6400765138001,14.7644810435497,15.0067206415143,15.1346721397452
"TOMM7",15.2114239215246,15.3864673843975,14.412436744496,14.5293640519282
"SLC2A4RG",14.9465090476468,14.619464086088,14.9205455899138,15.048168576322
"UQCRB",14.7293335243359,14.8037604604311,14.9643376323151,15.0151613693881
"MT1E",15.299235190536,15.300832329064,14.343447506179,14.5607458839145
"ND3",14.8349092621834,14.5607458839145,14.9693728606528,15.1148951158092
"TYMS",15.0315465778075,15.0151613693881,14.7789978438699,14.6381057174783
"PRDX6",14.9409065503163,14.9429057521524,14.7900919277833,14.7861962971403
"CD44",15.2374071428896,15.2114239215246,14.509449985511,14.4873512615819
"UQCR10",15.0067206415143,14.997694675904,14.705295827086,14.724929513894
"MYL6",14.7644810435497,14.5703515762184,15.0903206519102,14.997694675904
"TMEM212",14.1375784742419,14.3885498946697,15.3807427462177,15.4943308432801
"MRPS24",14.8360985284488,14.8192841858538,14.9161101316176,14.8275720526319
"PHLDA2",15.1407053312716,15.3146419349021,14.4211995133254,14.4617010355273
"RPS3",14.754294112217,14.7814333440562,14.9857047525062,14.7900919277833
"NDUFB2",14.8488521820275,14.8589932351167,14.8037604604311,14.7872121771243
"CYB5R3",14.8888603245379,14.9307417439675,14.6984296969377,14.7741507670036
"CKS1B",14.7974246796864,14.9161101316176,14.7814333440562,14.7885630716564
"ZNF526",14.4168305882176,14.6301702410121,15.0978663381497,15.1372277481183
