Pathway,Gene
Glycogen metabolism,GPI
Glycogen metabolism,PGK1
Glycogen metabolism,PRKACB
Glycogen metabolism,HK3
Glycogen metabolism,SEC13
Glycosaminoglycan metabolism,NAGLU
Glycosaminoglycan metabolism,CHST1
Glycosaminoglycan metabolism,HYAL1
Glycosaminoglycan metabolism,PAPSS2
Glycosaminoglycan metabolism,UST
Glycosaminoglycan metabolism,XYLT1
Glycosaminoglycan metabolism,CEMIP
Glycosaminoglycan metabolism,DSEL
Glycosaminoglycan metabolism,HS3ST1
Glycosaminoglycan metabolism,HYAL2
Glycosaminoglycan metabolism,HEXB
Glycosaminoglycan metabolism,VCAN
Glycosaminoglycan metabolism,HS3ST2
Inositol phosphate metabolism,INPP5A
Inositol phosphate metabolism,INPP4B
Inositol phosphate metabolism,NUDT3
Inositol phosphate metabolism,PPIP5K2
Inositol phosphate metabolism,PLD4
Fatty AcylCoA biosynthesis,HACD4
Fatty AcylCoA biosynthesis,HACD1
Fatty AcylCoA biosynthesis,HSD17B8
Arachdonic Acid metabolism,ALOX5
Arachdonic Acid metabolism,LTA4H
Arachdonic Acid metabolism,DPEP2
Arachdonic Acid metabolism,PTGS1
Arachdonic Acid metabolism,HPGDS
Arachdonic Acid metabolism,HPGD
Carnitine metabolism,RXRA
Carnitine metabolism,SLC22A5
B oxidation,PCCA
B oxidation,ACOT11
B oxidation,THEM4
B oxidation,MECR
Triglyceride biosynthesis,GPAM
Triglyceride catabolism,FABP3
Triglyceride catabolism,FABP7
Triglyceride catabolism,PRKACB
Phospholipid metabolism,RAB4A
Phospholipid metabolism,OSBPL8
Phospholipid metabolism,GPAM
Phospholipid metabolism,GPD1L
Phospholipid metabolism,PIK3C3
Phospholipid metabolism,MTMR2
Phospholipid metabolism,PIK3R2
Phospholipid metabolism,PIK3R1
Phospholipid metabolism,GDPD3
Phospholipid metabolism,PTPN13
Phospholipid metabolism,LPCAT2
Phospholipid metabolism,INPP4B
Phospholipid metabolism,PTDSS1
Phospholipid metabolism,PLA2G12A
Phospholipid metabolism,PLD4
Phospholipid metabolism,PLB1
Phospholipid metabolism,CHPT1
Sphingolipid metabolism,PLPP3
Sphingolipid metabolism,SMPD3
Sphingolipid metabolism,CERK
Sphingolipid metabolism,PPM1L
Sphingolipid metabolism,CERT1
Sphingolipid metabolism,HEXB
Steroids metabolism,GPAM
Steroids metabolism,HMGCR
Steroids metabolism,TSPO
Steroids metabolism,HSD17B1
Steroids metabolism,RXRA
Steroids metabolism,HSD17B14
Steroids metabolism,OSBPL7
Ketone Body metabolism,ACAT1
Pyruvate metabolism,PDK3
Pyruvate metabolism,RXRA
Pyruvate metabolism,PDK4
TCA,IDH3G
TCA,NNT
TCA,SUCLG2
ETC,TIMMDC1
ETC,UQCRC2
ETC,UCP2
ETC,ATP5ME
ETC,NDUFB2
ETC,NDUFB8
ETC,NDUFV3
ETC,MT-CYB
ETC,LRPPRC
ETC,MT-ND1
Nucleotides metabolism,ATIC
