"gene_symbol","module","evidence_key","classification_note"
"ABCG1","cholesterol efflux","Wang2006_ATVB;YvanCharvet2008_Circulation","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"ACKR2","chemokine scavenging","ACKR2_decoy_chemokine_resolution","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"ADORA2A","adenosine signaling","adenosine_A2A_macrophage_antiinflammatory","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"ALOX15","pro-resolving lipid mediator","SPM_lipoxin_resolvin_biosynthesis","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"ALOX15B","pro-resolving lipid mediator","SPM_lipoxin_resolvin_biosynthesis","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"ARG1","arginine alternative activation","Rath2014_FrontImmunol;M2_marker_literature","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"ARG2","arginine metabolism","arginase_LXR_antiinflammatory_context","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"ATF3","negative inflammatory regulator","ATF3_TLR_negative_feedback","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"ATG5","autophagy/mitophagy","Liu2018_BBA;Cai2022_Autophagy","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"AXL","efferocytosis TAM receptor","Grabiec2018_EJI;Cai2018_SciSignal","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"BCL3","NF-kB negative feedback","NFkB_feedback_literature","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"BNIP3L","mitophagy","mitophagy_resolution_literature","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"CAT","antioxidant redox","NRF2_redox_literature","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"CCL18","M2/tissue macrophage chemokine","M2_human_macrophage_marker","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"CCL22","M2/Th2 chemokine","M2_human_macrophage_marker","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"CD14","monocyte/macrophage resolution context","monocyte_macrophage_context_marker","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"CD163","M2/scavenger receptor","M2_scavenger_receptor_marker","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"CD200R1","inhibitory immune receptor","CD200R_inhibitory_myeloid","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"CD274","checkpoint inhibitory ligand","PDL1_checkpoint_context","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"CD36","efferocytosis/lipid uptake","Fadok1998_JImmunol;Silverstein2009_SciSignal","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"CD68","macrophage marker","macrophage_marker_context","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"CD93","efferocytosis","efferocytosis_receptor_literature","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"CHID1","M2 marker","M2_marker_literature","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
