"category","subcategory","gene_symbol","role","priority","notes_for_pruning","source_type","evidence_key"
"Amino acid and nitrogen metabolism","Amino acid mTOR transport","SLC3A2","Transporter","core","AA uptake and mTORC1","user_table","preexisting_user_curation"
"Amino acid and nitrogen metabolism","Amino acid mTOR transport","SLC6A14","Transporter","core","AA uptake and mTORC1","user_table","preexisting_user_curation"
"Amino acid and nitrogen metabolism","Amino acid mTOR transport","SLC7A5","Transporter","core","AA uptake and mTORC1","user_table","preexisting_user_curation"
"Amino acid and nitrogen metabolism","Amino acid stress","ATF4","Sensor/TF","core","Integrated stress response","user_table","preexisting_user_curation"
"Amino acid and nitrogen metabolism","Amino acid stress","EIF2AK4","Sensor/TF","core","Integrated stress response","user_table","preexisting_user_curation"
"Amino acid and nitrogen metabolism","Arginine NOS ARG axis","ARG1","Transporter/Enzyme","core","NO versus arginase metabolism","user_table","preexisting_user_curation"
"Amino acid and nitrogen metabolism","Arginine NOS ARG axis","ARG2","Transporter/Enzyme","core","NO versus arginase metabolism","user_table","preexisting_user_curation"
"Amino acid and nitrogen metabolism","Arginine NOS ARG axis","ASL","Transporter/Enzyme","core","NO versus arginase metabolism","user_table","preexisting_user_curation"
"Amino acid and nitrogen metabolism","Arginine NOS ARG axis","ASS1","Transporter/Enzyme","core","NO versus arginase metabolism","user_table","preexisting_user_curation"
"Amino acid and nitrogen metabolism","Arginine NOS ARG axis","CPS1","Transporter/Enzyme","core","NO versus arginase metabolism","user_table","preexisting_user_curation"
"Amino acid and nitrogen metabolism","Arginine NOS ARG axis","NOS2","Transporter/Enzyme","core","NO versus arginase metabolism","user_table","preexisting_user_curation"
"Amino acid and nitrogen metabolism","Arginine NOS ARG axis","OTC","Transporter/Enzyme","core","NO versus arginase metabolism","user_table","preexisting_user_curation"
"Amino acid and nitrogen metabolism","Arginine NOS ARG axis","SLC7A1","Transporter/Enzyme","core","NO versus arginase metabolism","user_table","preexisting_user_curation"
"Amino acid and nitrogen metabolism","Arginine NOS ARG axis","SLC7A2","Transporter/Enzyme","core","NO versus arginase metabolism","user_table","preexisting_user_curation"
"Amino acid and nitrogen metabolism","BCAA metabolism","BCAT1","Enzyme/Regulator","core","Branched-chain amino acids","user_table","preexisting_user_curation"
"Amino acid and nitrogen metabolism","BCAA metabolism","BCAT2","Enzyme/Regulator","core","Branched-chain amino acids","user_table","preexisting_user_curation"
"Amino acid and nitrogen metabolism","BCAA metabolism","BCKDHA","Enzyme/Regulator","core","Branched-chain amino acids","user_table","preexisting_user_curation"
"Amino acid and nitrogen metabolism","BCAA metabolism","BCKDHB","Enzyme/Regulator","core","Branched-chain amino acids","user_table","preexisting_user_curation"
"Amino acid and nitrogen metabolism","BCAA metabolism","BCKDK","Enzyme/Regulator","core","Branched-chain amino acids","user_table","preexisting_user_curation"
"Amino acid and nitrogen metabolism","BCAA metabolism","DBT","Enzyme/Regulator","core","Branched-chain amino acids","user_table","preexisting_user_curation"
"Amino acid and nitrogen metabolism","BCAA metabolism","PPM1K","Enzyme/Regulator","core","Branched-chain amino acids","user_table","preexisting_user_curation"
"Amino acid and nitrogen metabolism","Glutaminolysis","GLS","Transporter/Enzyme","core","Glutamine to TCA and tolerance","user_table","preexisting_user_curation"
"Amino acid and nitrogen metabolism","Glutaminolysis","GLS2","Transporter/Enzyme","core","Glutamine to TCA and tolerance","user_table","preexisting_user_curation"
"Amino acid and nitrogen metabolism","Glutaminolysis","GLUD1","Transporter/Enzyme","core","Glutamine to TCA and tolerance","user_table","preexisting_user_curation"
"Amino acid and nitrogen metabolism","Glutaminolysis","GLUL","Transporter/Enzyme","core","Glutamine to TCA and tolerance","user_table","preexisting_user_curation"
"Amino acid and nitrogen metabolism","Glutaminolysis","GPT2","Transporter/Enzyme","core","Glutamine to TCA and tolerance","user_table","preexisting_user_curation"
"Amino acid and nitrogen metabolism","Glutaminolysis","SLC1A5","Transporter/Enzyme","core","Glutamine to TCA and tolerance","user_table","preexisting_user_curation"
"Amino acid and nitrogen metabolism","Glutaminolysis","SLC38A1","Transporter/Enzyme","core","Glutamine to TCA and tolerance","user_table","preexisting_user_curation"
"Amino acid and nitrogen metabolism","Glutaminolysis","SLC38A2","Transporter/Enzyme","core","Glutamine to TCA and tolerance","user_table","preexisting_user_curation"
"Amino acid and nitrogen metabolism","Glutaminolysis","SLC38A5","Transporter/Enzyme","core","Glutamine to TCA and tolerance","user_table","preexisting_user_curation"
"Amino acid and nitrogen metabolism","Tryptophan kynurenine","AHR","Enzyme/TF/Sensor","core","IDO-AHR immune tolerance","user_table","preexisting_user_curation"
"Amino acid and nitrogen metabolism","Tryptophan kynurenine","HAAO","Enzyme/TF/Sensor","core","IDO-AHR immune tolerance","user_table","preexisting_user_curation"
"Amino acid and nitrogen metabolism","Tryptophan kynurenine","IDO1","Enzyme/TF/Sensor","core","IDO-AHR immune tolerance","user_table","preexisting_user_curation"
"Amino acid and nitrogen metabolism","Tryptophan kynurenine","IDO2","Enzyme/TF/Sensor","core","IDO-AHR immune tolerance","user_table","preexisting_user_curation"
"Amino acid and nitrogen metabolism","Tryptophan kynurenine","KMO","Enzyme/TF/Sensor","core","IDO-AHR immune tolerance","user_table","preexisting_user_curation"
"Amino acid and nitrogen metabolism","Tryptophan kynurenine","KYNU","Enzyme/TF/Sensor","core","IDO-AHR immune tolerance","user_table","preexisting_user_curation"
"Amino acid and nitrogen metabolism","Tryptophan kynurenine","QPRT","Enzyme/TF/Sensor","core","IDO-AHR immune tolerance","user_table","preexisting_user_curation"
"Amino acid and nitrogen metabolism","Tryptophan kynurenine","TDO2","Enzyme/TF/Sensor","core","IDO-AHR immune tolerance","user_table","preexisting_user_curation"
"Amino acid and nitrogen metabolism","xCT redox cystine","SLC7A11","Transporter","core","Cystine/glutamate antiporter","user_table","preexisting_user_curation"
"Amino acid metabolism","Arginine/polyamine and tryptophan-kynurenine/NAD","AADAT","Enzyme/transporter/regulator","expanded_core","Arginine NOS2/ARG1 axis and tryptophan-kynurenine/NAD pathway have functional macrophage evidence.","bibliography_expanded","Rath2014_FrontImmunol;Minhas2019_NatImmunol;Sukka2024_NatMetab"
"Amino acid metabolism","Arginine/polyamine and tryptophan-kynurenine/NAD","AFMID","Enzyme/transporter/regulator","expanded_core","Arginine NOS2/ARG1 axis and tryptophan-kynurenine/NAD pathway have functional macrophage evidence.","bibliography_expanded","Rath2014_FrontImmunol;Minhas2019_NatImmunol;Sukka2024_NatMetab"
"Amino acid metabolism","Arginine/polyamine and tryptophan-kynurenine/NAD","NADSYN1","Enzyme/transporter/regulator","expanded_core","Arginine NOS2/ARG1 axis and tryptophan-kynurenine/NAD pathway have functional macrophage evidence.","bibliography_expanded","Rath2014_FrontImmunol;Minhas2019_NatImmunol;Sukka2024_NatMetab"
"Amino acid metabolism","Arginine/polyamine and tryptophan-kynurenine/NAD","NAMPT","Enzyme/transporter/regulator","expanded_core","Arginine NOS2/ARG1 axis and tryptophan-kynurenine/NAD pathway have functional macrophage evidence.","bibliography_expanded","Rath2014_FrontImmunol;Minhas2019_NatImmunol;Sukka2024_NatMetab"
"Amino acid metabolism","Arginine/polyamine and tryptophan-kynurenine/NAD","NAPRT","Enzyme/transporter/regulator","expanded_core","Arginine NOS2/ARG1 axis and tryptophan-kynurenine/NAD pathway have functional macrophage evidence.","bibliography_expanded","Rath2014_FrontImmunol;Minhas2019_NatImmunol;Sukka2024_NatMetab"
"Amino acid metabolism","Arginine/polyamine and tryptophan-kynurenine/NAD","NMNAT1","Enzyme/transporter/regulator","expanded_core","Arginine NOS2/ARG1 axis and tryptophan-kynurenine/NAD pathway have functional macrophage evidence.","bibliography_expanded","Rath2014_FrontImmunol;Minhas2019_NatImmunol;Sukka2024_NatMetab"
"Amino acid metabolism","Arginine/polyamine and tryptophan-kynurenine/NAD","NMNAT2","Enzyme/transporter/regulator","expanded_core","Arginine NOS2/ARG1 axis and tryptophan-kynurenine/NAD pathway have functional macrophage evidence.","bibliography_expanded","Rath2014_FrontImmunol;Minhas2019_NatImmunol;Sukka2024_NatMetab"
"Amino acid metabolism","Arginine/polyamine and tryptophan-kynurenine/NAD","NMNAT3","Enzyme/transporter/regulator","expanded_core","Arginine NOS2/ARG1 axis and tryptophan-kynurenine/NAD pathway have functional macrophage evidence.","bibliography_expanded","Rath2014_FrontImmunol;Minhas2019_NatImmunol;Sukka2024_NatMetab"
"Eicosanoids","Arachidonic acid/prostaglandin/leukotriene metabolism","ALOX12","Enzyme/receptor","expanded_core","Macrophage activation changes eicosanoid production; lipidomics/qPCR studies support COX/LOX/synthase modules.","bibliography_expanded","Rouzer2011_JLipidRes;Sorgi2017_SciRep;Trebino2005_JBC"
"Eicosanoids","Arachidonic acid/prostaglandin/leukotriene metabolism","HPGD","Enzyme/receptor","expanded_core","Macrophage activation changes eicosanoid production; lipidomics/qPCR studies support COX/LOX/synthase modules.","bibliography_expanded","Rouzer2011_JLipidRes;Sorgi2017_SciRep;Trebino2005_JBC"
"Eicosanoids","Arachidonic acid/prostaglandin/leukotriene metabolism","HPGDS","Enzyme/receptor","expanded_core","Macrophage activation changes eicosanoid production; lipidomics/qPCR studies support COX/LOX/synthase modules.","bibliography_expanded","Rouzer2011_JLipidRes;Sorgi2017_SciRep;Trebino2005_JBC"
"Eicosanoids","Arachidonic acid/prostaglandin/leukotriene metabolism","PLA2G7","Enzyme/receptor","expanded_core","Macrophage activation changes eicosanoid production; lipidomics/qPCR studies support COX/LOX/synthase modules.","bibliography_expanded","Rouzer2011_JLipidRes;Sorgi2017_SciRep;Trebino2005_JBC"
"Eicosanoids","Arachidonic acid/prostaglandin/leukotriene metabolism","PTGDS","Enzyme/receptor","expanded_core","Macrophage activation changes eicosanoid production; lipidomics/qPCR studies support COX/LOX/synthase modules.","bibliography_expanded","Rouzer2011_JLipidRes;Sorgi2017_SciRep;Trebino2005_JBC"
"Eicosanoids","Arachidonic acid/prostaglandin/leukotriene metabolism","PTGER2","Enzyme/receptor","expanded_core","Macrophage activation changes eicosanoid production; lipidomics/qPCR studies support COX/LOX/synthase modules.","bibliography_expanded","Rouzer2011_JLipidRes;Sorgi2017_SciRep;Trebino2005_JBC"
"Eicosanoids","Arachidonic acid/prostaglandin/leukotriene metabolism","PTGER4","Enzyme/receptor","expanded_core","Macrophage activation changes eicosanoid production; lipidomics/qPCR studies support COX/LOX/synthase modules.","bibliography_expanded","Rouzer2011_JLipidRes;Sorgi2017_SciRep;Trebino2005_JBC"
"Eicosanoids","Arachidonic acid/prostaglandin/leukotriene metabolism","PTGES2","Enzyme/receptor","expanded_core","Macrophage activation changes eicosanoid production; lipidomics/qPCR studies support COX/LOX/synthase modules.","bibliography_expanded","Rouzer2011_JLipidRes;Sorgi2017_SciRep;Trebino2005_JBC"
"Eicosanoids","Arachidonic acid/prostaglandin/leukotriene metabolism","PTGES3","Enzyme/receptor","expanded_core","Macrophage activation changes eicosanoid production; lipidomics/qPCR studies support COX/LOX/synthase modules.","bibliography_expanded","Rouzer2011_JLipidRes;Sorgi2017_SciRep;Trebino2005_JBC"
"Eicosanoids","Arachidonic acid/prostaglandin/leukotriene metabolism","PTGR1","Enzyme/receptor","expanded_core","Macrophage activation changes eicosanoid production; lipidomics/qPCR studies support COX/LOX/synthase modules.","bibliography_expanded","Rouzer2011_JLipidRes;Sorgi2017_SciRep;Trebino2005_JBC"
"Eicosanoids","Arachidonic acid/prostaglandin/leukotriene metabolism","TBXAS1","Enzyme/receptor","expanded_core","Macrophage activation changes eicosanoid production; lipidomics/qPCR studies support COX/LOX/synthase modules.","bibliography_expanded","Rouzer2011_JLipidRes;Sorgi2017_SciRep;Trebino2005_JBC"
"ETC ROS and energy sensors","AMPK mTOR sensors","LAMTOR1","Sensor/Regulator","core","Energy and nutrient sensing","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","AMPK mTOR sensors","LAMTOR2","Sensor/Regulator","core","Energy and nutrient sensing","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","AMPK mTOR sensors","LAMTOR3","Sensor/Regulator","core","Energy and nutrient sensing","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","AMPK mTOR sensors","LAMTOR4","Sensor/Regulator","core","Energy and nutrient sensing","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","AMPK mTOR sensors","LAMTOR5","Sensor/Regulator","core","Energy and nutrient sensing","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","AMPK mTOR sensors","MTOR","Sensor/Regulator","core","Energy and nutrient sensing","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","AMPK mTOR sensors","PRKAA1","Sensor/Regulator","core","Energy and nutrient sensing","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","AMPK mTOR sensors","PRKAA2","Sensor/Regulator","core","Energy and nutrient sensing","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","AMPK mTOR sensors","PRKAB1","Sensor/Regulator","core","Energy and nutrient sensing","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","AMPK mTOR sensors","PRKAB2","Sensor/Regulator","core","Energy and nutrient sensing","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","AMPK mTOR sensors","PRKAG1","Sensor/Regulator","core","Energy and nutrient sensing","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","AMPK mTOR sensors","RHEB","Sensor/Regulator","core","Energy and nutrient sensing","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","AMPK mTOR sensors","RICTOR","Sensor/Regulator","core","Energy and nutrient sensing","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","AMPK mTOR sensors","RPTOR","Sensor/Regulator","core","Energy and nutrient sensing","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","AMPK mTOR sensors","RRAGA","Sensor/Regulator","core","Energy and nutrient sensing","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","AMPK mTOR sensors","RRAGB","Sensor/Regulator","core","Energy and nutrient sensing","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","AMPK mTOR sensors","RRAGC","Sensor/Regulator","core","Energy and nutrient sensing","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","AMPK mTOR sensors","RRAGD","Sensor/Regulator","core","Energy and nutrient sensing","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","AMPK mTOR sensors","STK11","Sensor/Regulator","core","Energy and nutrient sensing","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","AMPK mTOR sensors","TSC1","Sensor/Regulator","core","Energy and nutrient sensing","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","AMPK mTOR sensors","TSC2","Sensor/Regulator","core","Energy and nutrient sensing","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Antioxidant redox","CAT","Enzyme/Sensor/TF","core","ROS detox and NRF2 axis","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Antioxidant redox","GPX1","Enzyme/Sensor/TF","core","ROS detox and NRF2 axis","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Antioxidant redox","GPX4","Enzyme/Sensor/TF","core","ROS detox and NRF2 axis","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Antioxidant redox","KEAP1","Enzyme/Sensor/TF","core","ROS detox and NRF2 axis","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Antioxidant redox","NFE2L2","Enzyme/Sensor/TF","core","ROS detox and NRF2 axis","user_table","preexisting_user_curation"
