"gene","panel","present_in_array"
"MRC1","M2_canonico",FALSE
"CD163","M2_canonico",TRUE
"MSR1","M2_canonico",TRUE
"MERTK","M2_canonico",TRUE
"STAB1","M2_canonico",TRUE
"STAB2","M2_canonico",FALSE
"CD36","M2_canonico+inmunometabolico",TRUE
"CD200R1","M2_canonico",FALSE
"CCL18","M2_canonico",TRUE
"CCL22","M2_canonico",TRUE
"IL10","M2_canonico",TRUE
"IL10RA","M2_canonico",TRUE
"IL4R","M2_canonico",TRUE
"IL13RA1","M2_canonico",TRUE
"TGFB1","M2_canonico",TRUE
"TGFB2","M2_canonico",TRUE
"MAF","M2_canonico",TRUE
"MAFB","M2_canonico",FALSE
"KLF4","M2_canonico",FALSE
"STAT6","M2_canonico",TRUE
"PPARG","M2_canonico+inmunometabolico",FALSE
"TREM2","M2_canonico",TRUE
"VSIG4","M2_canonico",TRUE
"MARCO","M2_canonico",TRUE
"CLEC7A","M2_canonico",TRUE
"ARG1","M2_canonico+inmunometabolico",TRUE
"ARG2","M2_canonico+inmunometabolico",FALSE
"PPARGC1A","Inmunometabolico_M2",TRUE
"PPARGC1B","Inmunometabolico_M2",TRUE
"PPARA","Inmunometabolico_M2",FALSE
"RXRA","Inmunometabolico_M2",TRUE
"NR1H3","Inmunometabolico_M2",FALSE
"ABCA1","Inmunometabolico_M2",TRUE
"ABCG1","Inmunometabolico_M2",TRUE
"APOE","Inmunometabolico_M2",TRUE
"LPL","Inmunometabolico_M2",FALSE
"LIPA","Inmunometabolico_M2",TRUE
"FABP4","Inmunometabolico_M2",FALSE
"FABP5","Inmunometabolico_M2",TRUE
"ALOX15","Inmunometabolico_M2",TRUE
"ALOX15B","Inmunometabolico_M2",FALSE
"HPGD","Inmunometabolico_M2",TRUE
"HPGDS","Inmunometabolico_M2",TRUE
"SLC40A1","Inmunometabolico_M2",TRUE
"HMOX1","Inmunometabolico_M2",FALSE
"NFE2L2","Inmunometabolico_M2",FALSE
"CAT","Inmunometabolico_M2",TRUE
"SOD2","Inmunometabolico_M2",TRUE
"GPX4","Inmunometabolico_M2",TRUE
"UCP2","Inmunometabolico_M2",TRUE
"CPT1A","Inmunometabolico_M2",TRUE
"CPT2","Inmunometabolico_M2",FALSE
"ACADM","Inmunometabolico_M2",FALSE
"ACADVL","Inmunometabolico_M2",FALSE
"HADHA","Inmunometabolico_M2",FALSE
"HADHB","Inmunometabolico_M2",FALSE
"TFAM","Inmunometabolico_M2",FALSE
"MTOR","Inmunometabolico_M2",TRUE
"TSC1","Inmunometabolico_M2",TRUE
"TSC2","Inmunometabolico_M2",FALSE
"STK11","Inmunometabolico_M2",TRUE
"PRKAA1","Inmunometabolico_M2",FALSE
"PRKAA2","Inmunometabolico_M2",FALSE
"SQSTM1","Inmunometabolico_M2",TRUE
"ATG5","Inmunometabolico_M2",TRUE
"BNIP3L","Inmunometabolico_M2",TRUE
"LAMP2","Inmunometabolico_M2",TRUE
